experiment,fold,aggregation,n_cal_drives,n_cal_failed_drives,n_test_drives,n_test_failed_drives,test_prevalence,roc_auc,pr_auc,precision,recall,qhat_lac,coverage_lac,coverage_healthy_lac,coverage_failure_lac,avg_set_size_lac,singleton_rate_lac,doubleton_rate_lac,empty_rate_lac
standard,standard,last,3108,78,3884,112,0.028836251287332648,0.698887952582942,0.12780457602892253,0.045778834720570746,0.6875,0.8187007904052734,0.9848094747682801,0.9923117709437964,0.7321428571428571,1.8990731204943356,0.10092687950566426,0.8990731204943357,0.0
standard,standard,mean,3108,78,3884,112,0.028836251287332648,0.6875958661566429,0.1244773473557182,0.04329524954900782,0.6428571428571429,0.8108902116616566,0.9768280123583934,0.9840933191940615,0.7321428571428571,1.8905767250257466,0.10942327497425335,0.8905767250257467,0.0
standard,standard,max,3108,78,3884,112,0.028836251287332648,0.6971647288289653,0.1271116804934043,0.044673539518900345,0.6964285714285714,0.8270026445388794,0.9904737384140062,0.9981442205726405,0.7321428571428571,1.9029351184346035,0.0970648815653965,0.9029351184346035,0.0
lomo_A,A,last,2107,90,1300,17,0.013076923076923076,0.4984411535463757,0.013097072419106317,0.0,0.0,0.4938969314098358,0.01769230769230769,0.004676539360872954,1.0,1.0,1.0,0.0,0.0
lomo_A,A,mean,2107,90,1300,17,0.013076923076923076,0.49883086515978176,0.013107170393215111,0.0,0.0,0.4938969314098358,0.01769230769230769,0.004676539360872954,1.0,1.0,1.0,0.0,0.0
lomo_A,A,max,2107,90,1300,17,0.013076923076923076,0.4984411535463757,0.013097072419106317,0.0,0.0,0.4938969314098358,0.01769230769230769,0.004676539360872954,1.0,1.0,1.0,0.0,0.0
lomo_B,B,last,2579,89,832,17,0.020432692307692308,0.501840490797546,0.020506634499396863,0.0,0.0,0.4931526780128479,0.020432692307692308,0.0,1.0,1.0,1.0,0.0,0.0
lomo_B,B,mean,2579,89,832,17,0.020432692307692308,0.501840490797546,0.020506634499396863,0.0,0.0,0.4931526780128479,0.020432692307692308,0.0,1.0,1.0,1.0,0.0,0.0
lomo_B,B,max,2579,89,832,17,0.020432692307692308,0.501840490797546,0.020506634499396863,0.0,0.0,0.4931526780128479,0.020432692307692308,0.0,1.0,1.0,1.0,0.0,0.0
lomo_C,C,last,1714,35,1868,100,0.05353319057815846,0.642302036199095,0.09903949526179627,0.07434944237918216,0.6,0.49311563372612,0.24839400428265523,0.25509049773755654,0.13,0.5487152034261242,0.5487152034261242,0.0,0.4512847965738758
lomo_C,C,mean,1714,35,1868,100,0.05353319057815846,0.6404694570135747,0.10465955827460953,0.07376058041112454,0.61,0.49387228588263193,0.26498929336188437,0.27205882352941174,0.14,0.5749464668094219,0.5749464668094219,0.0,0.42505353319057815
lomo_C,C,max,1714,35,1868,100,0.05353319057815846,0.6447171945701358,0.10018476652603929,0.07191780821917808,0.63,0.4946194887161255,0.31316916488222696,0.3235294117647059,0.13,0.6209850107066381,0.6209850107066381,0.0,0.37901498929336186
