drive_id,model,disk_id,window_date,probability,label
MB1_10122,MB1,10122,2019-12-01,0.27454007,0
MB1_10156,MB1,10156,2019-12-01,0.3083653,0
MB1_10362,MB1,10362,2019-12-01,0.10113552,0
MB1_10584,MB1,10584,2019-12-01,0.10217539,0
MB1_10632,MB1,10632,2019-12-01,0.12619221,0
MB1_10723,MB1,10723,2019-12-01,0.09637107,0
MB1_10790,MB1,10790,2019-12-01,0.0830244,0
MB1_10881,MB1,10881,2019-12-01,0.09747141,0
MB1_10936,MB1,10936,2019-12-01,0.34133726,0
MB1_10944,MB1,10944,2019-07-17,0.13438034,0
MB1_10998,MB1,10998,2019-12-01,0.10210571,0
MB1_11066,MB1,11066,2019-12-01,0.2587134,0
MB1_11083,MB1,11083,2019-12-01,0.25663143,0
MB1_11126,MB1,11126,2019-12-01,0.11755356,0
MB1_11186,MB1,11186,2019-10-31,0.09839002,0
MB1_11518,MB1,11518,2019-12-01,0.09532773,0
MB1_11672,MB1,11672,2019-12-01,0.09949719,0
MB1_11700,MB1,11700,2019-11-17,0.3051229,0
MB1_11830,MB1,11830,2019-12-01,0.09882825,0
MB1_119,MB1,119,2019-12-01,0.11253936,0
MB1_11928,MB1,11928,2019-12-01,0.12556015,0
MB1_11980,MB1,11980,2019-11-17,0.10150778,0
MB1_12031,MB1,12031,2019-12-01,0.13876429,0
MB1_12192,MB1,12192,2019-12-01,0.3317343,0
MB1_12371,MB1,12371,2019-12-01,0.12630044,0
MB1_12513,MB1,12513,2018-05-23,0.65870976,1
MB1_12588,MB1,12588,2018-03-24,0.27472427,1
MB1_12598,MB1,12598,2019-12-01,0.09952689,0
MB1_12773,MB1,12773,2019-12-01,0.27006724,0
MB1_12851,MB1,12851,2019-12-01,0.101258,0
MB1_13023,MB1,13023,2019-12-01,0.09982052,0
MB1_13221,MB1,13221,2019-12-01,0.31638432,0
MB1_13274,MB1,13274,2019-12-01,0.45770946,0
MB1_13526,MB1,13526,2019-12-01,0.098611474,0
MB1_13529,MB1,13529,2019-12-01,0.098611474,0
MB1_13590,MB1,13590,2019-08-29,0.32174206,1
MB1_13778,MB1,13778,2019-12-01,0.30735406,0
MB1_14071,MB1,14071,2019-12-01,0.3313341,0
MB1_14490,MB1,14490,2019-12-01,0.2588715,0
MB1_14755,MB1,14755,2019-12-01,0.121759586,0
MB1_14956,MB1,14956,2019-12-01,0.09742276,0
MB1_1497,MB1,1497,2019-11-27,0.09654912,0
MB1_15029,MB1,15029,2019-12-01,0.096379995,0
MB1_15071,MB1,15071,2019-12-01,0.09548316,0
MB1_1518,MB1,1518,2019-12-01,0.09991651,0
MB1_15192,MB1,15192,2019-12-01,0.29852185,0
MB1_15244,MB1,15244,2019-12-01,0.09807939,0
MB1_15378,MB1,15378,2019-12-01,0.09951281,0
MB1_15450,MB1,15450,2019-12-01,0.31557393,0
MB1_15452,MB1,15452,2019-12-01,0.31177932,0
MB1_15482,MB1,15482,2019-12-01,0.31133002,0
MB1_15725,MB1,15725,2019-12-01,0.31362578,0
MB1_16034,MB1,16034,2019-11-17,0.1279102,0
MB1_16113,MB1,16113,2019-12-01,0.27296224,0
MB1_16230,MB1,16230,2019-12-01,0.11237874,0
MB1_16544,MB1,16544,2019-12-01,0.27488425,0
MB1_16783,MB1,16783,2019-12-01,0.10538686,0
MB1_17469,MB1,17469,2019-12-01,0.10430348,0
MB1_17507,MB1,17507,2019-12-01,0.096469715,0
MB1_17578,MB1,17578,2019-12-01,0.13373777,0
MB1_18001,MB1,18001,2019-12-01,0.079629496,0
MB1_18038,MB1,18038,2019-03-03,0.25984275,0
MB1_1812,MB1,1812,2019-11-28,0.094365254,0
MB1_18732,MB1,18732,2019-12-01,0.26059616,0
MB1_18793,MB1,18793,2019-12-01,0.121768974,0
MB1_19082,MB1,19082,2019-12-01,0.10226033,0
MB1_19106,MB1,19106,2019-07-01,0.12285511,1
MB1_19114,MB1,19114,2019-12-01,0.0900767,0
MB1_19314,MB1,19314,2019-12-01,0.16521353,0
MB1_19343,MB1,19343,2019-12-01,0.107327275,0
MB1_19440,MB1,19440,2019-12-01,0.10213178,0
MB1_19482,MB1,19482,2019-12-01,0.13039345,0
MB1_19582,MB1,19582,2019-12-01,0.11231903,0
MB1_19805,MB1,19805,2019-12-01,0.096414424,0
MB1_19860,MB1,19860,2019-12-01,0.24982834,0
MB1_19929,MB1,19929,2019-12-01,0.13334262,0
MB1_20014,MB1,20014,2019-12-01,0.096358776,0
MB1_2012,MB1,2012,2019-12-01,0.096373975,0
