drive_id,model,disk_id,windows,positive_windows,max_probability,mean_probability,first_probability,last_probability,drive_label
MA1_32265,MA1,32265,403,0,0.49389693,0.49389693,0.49389693,0.49389693,0
MA2_71463,MA2,71463,671,0,0.49389693,0.49389693,0.49389693,0.49389693,0
MA1_13503,MA1,13503,671,0,0.49389693,0.49389693,0.49389693,0.49389693,0
MA2_78557,MA2,78557,635,0,0.49389693,0.49389693,0.49389693,0.49389693,0
MA2_94171,MA2,94171,631,0,0.49389693,0.49389693,0.49389693,0.49389693,0
MA1_13822,MA1,13822,523,0,0.49389693,0.49389696,0.49389693,0.49389693,0
MA1_8956,MA1,8956,242,30,0.49389693,0.49389693,0.49389693,0.49389693,1
MA2_29305,MA2,29305,635,0,0.49389693,0.49389693,0.49389693,0.49389693,0
MA2_61088,MA2,61088,430,0,0.49389693,0.49389693,0.49389693,0.49389693,0
MA2_105955,MA2,105955,635,0,0.49389693,0.49389693,0.49389693,0.49389693,0
MA2_23592,MA2,23592,293,0,0.49389693,0.49389696,0.49389693,0.49389693,0
MA2_97223,MA2,97223,663,0,0.49389693,0.49389693,0.49389693,0.49389693,0
MA2_39124,MA2,39124,459,0,0.49389693,0.49389693,0.49389693,0.49389693,0
MA2_2582,MA2,2582,635,0,0.49389693,0.49389693,0.49389693,0.49389693,0
MA2_92708,MA2,92708,635,0,0.49389693,0.49389693,0.49389693,0.49389693,0
MA2_28292,MA2,28292,671,0,0.49389693,0.49389693,0.49389693,0.49389693,0
MA2_75485,MA2,75485,671,0,0.49389693,0.49389693,0.49389693,0.49389693,0
MA2_35892,MA2,35892,595,0,0.49389693,0.49389693,0.49389693,0.49389693,0
MA2_96506,MA2,96506,586,0,0.49389693,0.49389696,0.49389693,0.49389693,0
MA1_39296,MA1,39296,635,0,0.49389693,0.49389693,0.49389693,0.49389693,0
MA1_27229,MA1,27229,403,0,0.49389693,0.49389693,0.49389693,0.49389693,0
MA2_53569,MA2,53569,633,0,0.49389693,0.49389693,0.49389693,0.49389693,0
MA2_81507,MA2,81507,664,0,0.49389693,0.49389693,0.49389693,0.49389693,0
MA2_68493,MA2,68493,659,0,0.0,0.0,0.0,0.0,0
MA2_77526,MA2,77526,457,0,0.49389693,0.49389693,0.49389693,0.49389693,0
MA2_117436,MA2,117436,671,0,0.49389693,0.49389693,0.49389693,0.49389693,0
MA2_28356,MA2,28356,364,0,0.49389693,0.49389693,0.49389693,0.49389693,0
MA2_98052,MA2,98052,670,0,0.49389693,0.49389693,0.49389693,0.49389693,0
MA2_90502,MA2,90502,631,0,0.49389693,0.49389693,0.49389693,0.49389693,0
