drive_id,model,disk_id,window_date,probability,label
MA1_10251,MA1,10251,2019-12-01,0.56385106,0
MA1_10401,MA1,10401,2018-10-28,0.5052986,0
MA1_10515,MA1,10515,2019-12-01,0.5594368,0
MA1_11165,MA1,11165,2018-03-19,0.48668122,0
MA1_11482,MA1,11482,2019-12-01,0.58779114,0
MA1_12587,MA1,12587,2018-08-10,0.54648006,1
MA1_12597,MA1,12597,2019-12-01,0.54058665,0
MA1_12844,MA1,12844,2018-11-27,0.54671836,0
MA1_13281,MA1,13281,2019-10-26,0.5566791,0
MA1_13492,MA1,13492,2018-10-28,0.5272633,0
MA1_13830,MA1,13830,2019-12-01,0.54443526,0
MA1_14476,MA1,14476,2018-07-27,0.53272486,0
MA1_14541,MA1,14541,2019-12-01,0.5660762,0
MA1_14634,MA1,14634,2019-07-12,0.56669647,0
MA1_14822,MA1,14822,2019-12-01,0.5580782,0
MA1_14831,MA1,14831,2019-12-01,0.5566503,0
MA1_14955,MA1,14955,2019-02-11,0.5517912,0
MA1_14964,MA1,14964,2018-07-26,0.5382273,0
MA1_154,MA1,154,2018-04-24,0.5014767,0
MA1_15767,MA1,15767,2019-12-01,0.560861,0
MA1_15873,MA1,15873,2019-12-01,0.5928877,0
MA1_15930,MA1,15930,2019-12-01,0.5689494,0
MA1_16362,MA1,16362,2019-12-01,0.5826482,0
MA1_16501,MA1,16501,2018-08-07,0.5340812,0
MA1_16662,MA1,16662,2019-04-07,0.53788877,0
MA1_16751,MA1,16751,2019-04-26,0.5226496,0
MA1_17446,MA1,17446,2019-12-01,0.5648935,0
MA1_17632,MA1,17632,2019-12-01,0.56515455,0
MA1_17648,MA1,17648,2018-07-12,0.51617795,1
MA1_17711,MA1,17711,2019-12-01,0.55369806,0
MA1_17740,MA1,17740,2018-11-28,0.51917475,0
MA1_17743,MA1,17743,2018-11-28,0.519169,0
MA1_17842,MA1,17842,2019-12-01,0.54403234,0
MA1_17848,MA1,17848,2019-12-01,0.58898747,0
MA1_17867,MA1,17867,2019-10-12,0.55644375,0
MA1_18192,MA1,18192,2019-04-02,0.53180224,0
MA1_18431,MA1,18431,2019-12-01,0.5732574,0
