drive_id,model,disk_id,windows,positive_windows,max_probability,mean_probability,first_probability,last_probability,drive_label
MB2_23093,MB2,23093,671,0,0.49315268,0.49315268,0.49315268,0.49315268,0
MB1_25310,MB1,25310,670,0,0.49315268,0.49315268,0.49315268,0.49315268,0
MB2_39433,MB2,39433,670,0,0.49315268,0.49315268,0.49315268,0.49315268,0
MB1_16763,MB1,16763,670,0,0.49315268,0.49315268,0.49315268,0.49315268,0
MB1_34241,MB1,34241,670,0,0.49315268,0.49315268,0.49315268,0.49315268,0
MB2_6226,MB2,6226,670,0,0.49315268,0.49315268,0.49315268,0.49315268,0
MB1_22827,MB1,22827,670,0,0.49315268,0.49315268,0.49315268,0.49315268,0
MB2_20835,MB2,20835,670,0,0.49315268,0.49315268,0.49315268,0.49315268,0
MB1_38459,MB1,38459,670,0,0.49315268,0.49315268,0.49315268,0.49315268,0
MB2_8332,MB2,8332,660,0,0.49315268,0.49315268,0.49315268,0.49315268,0
MB2_29518,MB2,29518,670,0,0.49315268,0.49315268,0.49315268,0.49315268,0
MB2_18788,MB2,18788,670,0,0.49315268,0.49315268,0.49315268,0.49315268,0
MB1_39634,MB1,39634,670,0,0.49315268,0.49315268,0.49315268,0.49315268,0
MB1_33496,MB1,33496,670,0,0.49315268,0.49315268,0.49315268,0.49315268,0
MB2_9078,MB2,9078,670,0,0.49315268,0.49315268,0.49315268,0.49315268,0
MB2_28964,MB2,28964,670,0,0.49315268,0.49315268,0.49315268,0.49315268,0
MB1_43577,MB1,43577,670,0,0.49315268,0.49315268,0.49315268,0.49315268,0
MB1_23182,MB1,23182,670,0,0.49315268,0.49315268,0.49315268,0.49315268,0
MB2_39679,MB2,39679,670,0,0.49315268,0.49315268,0.49315268,0.49315268,0
MB2_13899,MB2,13899,670,0,0.49315268,0.49315268,0.49315268,0.49315268,0
MB1_24105,MB1,24105,205,17,0.49315268,0.49315268,0.49315268,0.49315268,1
MB2_15449,MB2,15449,670,0,0.49315268,0.49315268,0.49315268,0.49315268,0
MB2_17288,MB2,17288,372,0,0.49315268,0.49315265,0.49315268,0.49315268,0
MB1_31045,MB1,31045,670,0,0.49315268,0.49315268,0.49315268,0.49315268,0
MB2_21816,MB2,21816,670,0,0.49315268,0.49315268,0.49315268,0.49315268,0
MB1_1380,MB1,1380,670,0,0.49315268,0.49315268,0.49315268,0.49315268,0
MB1_8883,MB1,8883,670,0,0.49315268,0.49315268,0.49315268,0.49315268,0
MB2_15696,MB2,15696,670,0,0.49315268,0.49315268,0.49315268,0.49315268,0
MB2_31296,MB2,31296,670,0,0.49315268,0.49315268,0.49315268,0.49315268,0
MB1_41942,MB1,41942,670,0,0.49315268,0.49315268,0.49315268,0.49315268,0
MB2_13097,MB2,13097,670,0,0.49315268,0.49315268,0.49315268,0.49315268,0
MB2_13760,MB2,13760,670,0,0.49315268,0.49315268,0.49315268,0.49315268,0
MB2_20463,MB2,20463,670,0,0.49315268,0.49315268,0.49315268,0.49315268,0
MB1_43353,MB1,43353,670,0,0.49315268,0.49315268,0.49315268,0.49315268,0
MB1_36698,MB1,36698,670,0,0.49315268,0.49315268,0.49315268,0.49315268,0
MB1_35194,MB1,35194,670,0,0.49315268,0.49315268,0.49315268,0.49315268,0
MB2_11777,MB2,11777,670,0,0.49315268,0.49315268,0.49315268,0.49315268,0
MB1_4119,MB1,4119,670,0,0.49315268,0.49315268,0.49315268,0.49315268,0
MB2_35257,MB2,35257,656,0,0.49315268,0.49315268,0.49315268,0.49315268,0
MB1_16983,MB1,16983,670,0,0.49315268,0.49315268,0.49315268,0.49315268,0
MB2_37434,MB2,37434,670,0,0.49315268,0.49315268,0.49315268,0.49315268,0
MB1_10949,MB1,10949,533,0,0.49315268,0.49315268,0.49315268,0.49315268,0
MB2_33351,MB2,33351,670,0,0.49315268,0.49315268,0.49315268,0.49315268,0
