fold,drive_id,model,disk_id,drive_label,total_windows,positive_windows,first_window_date,last_window_date,first_positive_date,last_positive_date,first_positive_probability,last_positive_probability,max_positive_probability,max_probability,mean_probability,last_window_probability
B,MB1_10004,MB1,10004,0,670,0,2018-01-31,2019-12-01,,,,,,0.49315268,0.49315268,0.49315268
B,MB1_10021,MB1,10021,0,670,0,2018-01-31,2019-12-01,,,,,,0.49315268,0.49315268,0.49315268
B,MB1_10216,MB1,10216,0,670,0,2018-01-31,2019-12-01,,,,,,0.49315268,0.49315268,0.49315268
B,MB1_10274,MB1,10274,0,473,0,2018-08-16,2019-12-01,,,,,,0.49315268,0.49315265,0.49315268
B,MB1_10460,MB1,10460,0,670,0,2018-01-31,2019-12-01,,,,,,0.49315268,0.49315268,0.49315268
B,MB1_10481,MB1,10481,0,670,0,2018-01-31,2019-12-01,,,,,,0.49315268,0.49315268,0.49315268
B,MB1_10913,MB1,10913,0,257,0,2019-03-20,2019-12-01,,,,,,0.49315268,0.49315265,0.49315268
B,MB1_10949,MB1,10949,0,533,0,2018-01-31,2019-07-17,,,,,,0.49315268,0.49315268,0.49315268
B,MB1_1103,MB1,1103,0,670,0,2018-01-31,2019-12-01,,,,,,0.49315268,0.49315268,0.49315268
B,MB1_11248,MB1,11248,0,670,0,2018-01-31,2019-12-01,,,,,,0.49315268,0.49315268,0.49315268
B,MB1_11330,MB1,11330,0,247,0,2019-03-30,2019-12-01,,,,,,0.49315268,0.49315265,0.49315268
B,MB1_11404,MB1,11404,0,670,0,2018-01-31,2019-12-01,,,,,,0.49315268,0.49315268,0.49315268
B,MB1_11626,MB1,11626,0,527,0,2018-06-23,2019-12-01,,,,,,0.49315268,0.49315265,0.49315268
B,MB1_11758,MB1,11758,0,670,0,2018-01-31,2019-12-01,,,,,,0.49315268,0.49315268,0.49315268
B,MB1_11902,MB1,11902,0,670,0,2018-01-31,2019-12-01,,,,,,0.49315268,0.49315268,0.49315268
B,MB1_1197,MB1,1197,0,442,0,2018-09-16,2019-12-01,,,,,,0.49315268,0.49315268,0.49315268
B,MB1_12002,MB1,12002,0,670,0,2018-01-31,2019-12-01,,,,,,0.49315268,0.49315268,0.49315268
B,MB1_12181,MB1,12181,0,670,0,2018-01-31,2019-12-01,,,,,,0.49315268,0.49315268,0.49315268
B,MB1_12190,MB1,12190,0,374,0,2018-11-23,2019-12-01,,,,,,0.49315268,0.49315265,0.49315268
B,MB1_12203,MB1,12203,0,527,0,2018-06-23,2019-12-01,,,,,,0.49315268,0.49315265,0.49315268
B,MB1_12361,MB1,12361,0,670,0,2018-01-31,2019-12-01,,,,,,0.49315268,0.49315268,0.49315268
B,MB1_1249,MB1,1249,0,670,0,2018-01-31,2019-12-01,,,,,,0.49315268,0.49315268,0.49315268
B,MB1_12651,MB1,12651,0,670,0,2018-01-31,2019-12-01,,,,,,0.49315268,0.49315268,0.49315268
B,MB1_12817,MB1,12817,0,670,0,2018-01-31,2019-12-01,,,,,,0.49315268,0.49315268,0.49315268
