drive_id,model,disk_id,window_date,probability,label
MA1_10251,MA1,10251,2019-12-01,0.7579452,0
MA1_10401,MA1,10401,2018-10-28,0.707532,0
MA1_10515,MA1,10515,2019-12-01,0.75359416,0
MA1_11165,MA1,11165,2018-03-19,0.641048,0
MA1_11482,MA1,11482,2019-12-01,0.73586774,0
MA1_12587,MA1,12587,2018-08-10,0.7828546,1
MA1_12597,MA1,12597,2019-12-01,0.7665843,0
MA1_12844,MA1,12844,2018-11-27,0.7627866,0
MA1_13281,MA1,13281,2019-10-26,0.7556896,0
MA1_13492,MA1,13492,2018-10-28,0.7596661,0
MA1_13830,MA1,13830,2019-12-01,0.7651152,0
MA1_14476,MA1,14476,2018-07-27,0.776436,0
MA1_14541,MA1,14541,2019-12-01,0.75334144,0
MA1_14634,MA1,14634,2019-07-12,0.75571233,0
MA1_14822,MA1,14822,2019-12-01,0.7557069,0
MA1_14831,MA1,14831,2019-12-01,0.75141954,0
MA1_14955,MA1,14955,2019-02-11,0.7688493,0
MA1_14964,MA1,14964,2018-07-26,0.7734788,0
MA1_154,MA1,154,2018-04-24,0.6958409,0
MA1_15767,MA1,15767,2019-12-01,0.75447494,0
MA1_15873,MA1,15873,2019-12-01,0.7364055,0
MA1_15930,MA1,15930,2019-12-01,0.75960225,0
MA1_16362,MA1,16362,2019-12-01,0.73834527,0
MA1_16501,MA1,16501,2018-08-07,0.77629143,0
MA1_16662,MA1,16662,2019-04-07,0.770321,0
MA1_16751,MA1,16751,2019-04-26,0.7623984,0
MA1_17446,MA1,17446,2019-12-01,0.75603676,0
MA1_17632,MA1,17632,2019-12-01,0.75812274,0
MA1_17648,MA1,17648,2018-07-12,0.7409733,1
MA1_17711,MA1,17711,2019-12-01,0.76824385,0
MA1_17740,MA1,17740,2018-11-28,0.75187415,0
MA1_17743,MA1,17743,2018-11-28,0.7518629,0
MA1_17842,MA1,17842,2019-12-01,0.7620178,0
MA1_17848,MA1,17848,2019-12-01,0.74053925,0
MA1_17867,MA1,17867,2019-10-12,0.7584822,0
MA1_18192,MA1,18192,2019-04-02,0.7715979,0
MA1_18431,MA1,18431,2019-12-01,0.7447344,0
MA1_18441,MA1,18441,2019-12-01,0.7470394,0
MA1_18578,MA1,18578,2019-11-18,0.7666543,0
MA1_18738,MA1,18738,2019-12-01,0.78895605,0
MA1_18757,MA1,18757,2019-11-23,0.7556707,0
MA1_18872,MA1,18872,2019-12-01,0.73142487,0
MA1_19015,MA1,19015,2019-07-12,0.7533675,0
MA1_1914,MA1,1914,2019-12-01,0.7534893,0
MA1_1918,MA1,1918,2019-12-01,0.7556306,0
MA1_19202,MA1,19202,2019-10-26,0.73524296,0
MA1_19266,MA1,19266,2019-12-01,0.75283456,0
MA1_19272,MA1,19272,2018-08-10,0.77738434,1
MA1_19403,MA1,19403,2019-12-01,0.76551855,0
MA1_19444,MA1,19444,2019-10-26,0.7459819,0
MA1_19612,MA1,19612,2019-03-06,0.7712349,0
MA1_19761,MA1,19761,2019-12-01,0.75291413,0
MA1_20174,MA1,20174,2019-12-01,0.77286947,0
MA1_20291,MA1,20291,2019-12-01,0.73673594,0
MA1_20387,MA1,20387,2019-12-01,0.7710237,0
MA1_20390,MA1,20390,2019-12-01,0.77100754,0
MA1_20504,MA1,20504,2019-12-01,0.7571755,0
MA1_20641,MA1,20641,2019-03-08,0.77303916,0
MA1_2124,MA1,2124,2018-11-03,0.7228115,0
MA1_21269,MA1,21269,2019-12-01,0.74083525,0
MA1_21511,MA1,21511,2019-12-01,0.7545773,0
MA1_21723,MA1,21723,2019-12-01,0.7428371,0
MA1_22063,MA1,22063,2018-11-27,0.7342095,0
MA1_2267,MA1,2267,2019-12-01,0.7608876,0
MA1_22768,MA1,22768,2019-04-15,0.74986154,0
MA1_23330,MA1,23330,2019-12-01,0.7547313,0
MA1_23394,MA1,23394,2019-12-01,0.76929337,0
MA1_23398,MA1,23398,2019-12-01,0.76935095,0
MA1_23430,MA1,23430,2019-12-01,0.7556869,0
MA1_23536,MA1,23536,2019-11-17,0.7553682,0
MA1_2386,MA1,2386,2018-12-27,0.7757176,0
MA1_23896,MA1,23896,2018-04-28,0.7653846,0
MA1_23898,MA1,23898,2018-04-28,0.76446825,0
MA1_24034,MA1,24034,2019-08-09,0.76646245,0
MA1_24426,MA1,24426,2018-06-25,0.7563251,0
MA1_24456,MA1,24456,2019-12-01,0.75217795,0
MA1_24920,MA1,24920,2018-10-09,0.7036443,0
MA1_24930,MA1,24930,2018-10-09,0.7048723,0
MA1_25020,MA1,25020,2019-12-01,0.73545545,0
MA1_25517,MA1,25517,2019-03-08,0.7611475,0
MA1_25640,MA1,25640,2018-11-03,0.7531046,0
MA1_25980,MA1,25980,2019-10-26,0.7582545,0
MA1_26174,MA1,26174,2019-12-01,0.7412824,0
MA1_26385,MA1,26385,2018-08-10,0.781646,1
MA1_26465,MA1,26465,2019-12-01,0.7500962,0
MA1_26532,MA1,26532,2018-04-28,0.694938,0
MA1_26626,MA1,26626,2018-12-06,0.77366185,0
MA1_26666,MA1,26666,2019-04-11,0.7554587,0
MA1_26671,MA1,26671,2019-04-11,0.75586706,0
MA1_26734,MA1,26734,2019-10-15,0.7725166,0
MA1_26818,MA1,26818,2019-10-26,0.74401337,0
MA1_26864,MA1,26864,2019-12-01,0.72269046,0
MA1_26906,MA1,26906,2019-12-01,0.7545947,0
MA1_27102,MA1,27102,2019-03-08,0.76075333,0
MA1_2740,MA1,2740,2019-07-06,0.7704729,0
MA1_281,MA1,281,2019-12-01,0.7643334,0
MA1_28175,MA1,28175,2018-10-30,0.7550586,0
MA1_2825,MA1,2825,2019-10-26,0.7641355,0
MA1_28461,MA1,28461,2018-11-07,0.7750066,0
MA1_28540,MA1,28540,2019-09-11,0.74791694,0
MA1_2874,MA1,2874,2019-12-01,0.7633984,0
MA1_29378,MA1,29378,2019-10-26,0.760626,0
MA1_29398,MA1,29398,2018-11-08,0.7573808,1
MA1_29566,MA1,29566,2018-05-11,0.69852513,0
MA1_29580,MA1,29580,2019-10-26,0.76383585,0
MA1_29650,MA1,29650,2019-10-21,0.7462402,0
MA1_2975,MA1,2975,2019-12-01,0.7521582,0
MA1_30037,MA1,30037,2019-10-26,0.75515515,0
MA1_30303,MA1,30303,2019-02-11,0.7715624,0
MA1_30756,MA1,30756,2019-02-19,0.7680144,0
MA1_30862,MA1,30862,2019-12-01,0.7513389,0
MA1_30904,MA1,30904,2019-10-26,0.7420968,0
MA1_3113,MA1,3113,2018-10-28,0.72818905,0
MA1_31179,MA1,31179,2019-12-01,0.7521639,0
MA1_31466,MA1,31466,2019-12-01,0.73219496,0
MA1_3188,MA1,3188,2019-11-08,0.75616765,0
MA1_31960,MA1,31960,2019-12-01,0.7748402,0
