drive_id,model,disk_id,windows,positive_windows,max_probability,mean_probability,first_probability,last_probability,drive_label
MC1_80625,MC1,80625,671,0,0.52685905,0.5088235,0.09727066,0.4919221,0
MC1_171823,MC1,171823,670,0,0.52853054,0.51146704,0.5226853,0.49390128,0
MC1_182639,MC1,182639,670,0,0.5261414,0.5087685,0.5177269,0.4918482,0
MC1_65467,MC1,65467,670,0,0.5254284,0.50883836,0.5163101,0.49178424,0
MC1_24622,MC1,24622,670,0,0.5223246,0.50483954,0.5101707,0.4873591,0
MC1_97661,MC1,97661,587,30,0.6357206,0.51845896,0.5267553,0.50097764,1
MC1_163398,MC1,163398,670,0,0.52857286,0.5114394,0.52278394,0.4939673,0
MC1_184924,MC1,184924,670,0,0.61420745,0.5150893,0.5259361,0.49651998,0
MC1_107796,MC1,107796,670,0,0.52588445,0.5084239,0.5172344,0.49093372,0
MC1_141330,MC1,141330,670,0,0.52242774,0.5049975,0.5103767,0.48759502,0
MC1_144960,MC1,144960,670,0,0.52511394,0.507658,0.5157103,0.49017438,0
MC1_189319,MC1,189319,670,0,0.6354579,0.5160453,0.52673364,0.4967397,0
MC1_107542,MC1,107542,670,0,0.52791184,0.51048416,0.52120835,0.49299288,0
MC1_24608,MC1,24608,670,0,0.52597946,0.5089837,0.5174425,0.4920639,0
MC1_27270,MC1,27270,670,0,0.5226117,0.5057407,0.51075655,0.48764047,0
MC1_108691,MC1,108691,670,0,0.5183028,0.50087446,0.50208306,0.48368105,0
MC1_197248,MC1,197248,670,0,0.5153476,0.4978615,0.49619704,0.48056456,0
MC1_121926,MC1,121926,658,0,0.5213549,0.5041866,0.5082309,0.48702347,0
MC1_80270,MC1,80270,670,0,0.5282738,0.5115856,0.5220094,0.4946277,0
MC1_191577,MC1,191577,670,0,0.5254782,0.5080236,0.51643896,0.49052572,0
MC1_38613,MC1,38613,670,0,0.5252154,0.5077484,0.51589435,0.49025878,0
MC1_102721,MC1,102721,670,0,0.53294736,0.5127651,0.5241893,0.49529755,0
MC1_37617,MC1,37617,670,0,0.5257523,0.5082936,0.5169731,0.49080205,0
MC1_35487,MC1,35487,80,0,0.64308596,0.51737255,3.252433e-07,0.52831334,0
MC1_109316,MC1,109316,670,0,0.52427787,0.5068163,0.51407397,0.48933908,0
MC1_146870,MC1,146870,670,0,0.5279772,0.51070243,0.5213646,0.49397463,0
MC1_1492,MC1,1492,670,0,0.52597684,0.5085574,0.5174044,0.49115217,0
MC1_180833,MC1,180833,670,0,0.6436259,0.5172397,0.5287025,0.4969312,0
MC1_129906,MC1,129906,670,0,0.5225637,0.50639987,0.5106575,0.48761576,0
MC1_92958,MC1,92958,670,0,0.518133,0.50069577,0.501769,0.4834644,0
MC1_100249,MC1,100249,591,30,0.60945714,0.5172076,0.5257996,0.5007989,1
MC1_178766,MC1,178766,670,0,0.52802193,0.51126784,0.5214429,0.49823722,0
MC1_39349,MC1,39349,632,28,0.6435332,0.5131938,1.7431002e-09,0.4998658,1
MC1_41274,MC1,41274,670,0,0.5219807,0.5068183,0.5094865,0.49232388,0
MC1_87150,MC1,87150,670,0,0.5294135,0.512707,0.5241309,0.49526286,0
MC1_53755,MC1,53755,670,0,0.5203693,0.50289136,0.50626606,0.48545533,0
MC1_196161,MC1,196161,670,0,0.5202034,0.50271595,0.50593334,0.4852399,0
MC1_11615,MC1,11615,670,0,0.52562743,0.50835323,0.5167239,0.49263266,0
MC1_48924,MC1,48924,670,0,0.5280515,0.51078,0.5215449,0.49328485,0
MC1_32090,MC1,32090,670,0,0.52222776,0.50473857,0.5099849,0.4872539,0
MC1_154311,MC1,154311,670,0,0.5213078,0.50419134,0.5081533,0.48639092,0
MC1_167297,MC1,167297,670,0,0.5247415,0.5072702,0.514985,0.4897789,0
MC1_162149,MC1,162149,670,0,0.5252751,0.50781745,0.5160257,0.4903263,0
MC1_111518,MC1,111518,488,30,0.5259791,0.51348513,0.5174034,0.5013464,1
MC1_166831,MC1,166831,670,0,0.64338845,0.5103757,1.45957e-14,0.49782428,0
MC1_198116,MC1,198116,670,0,0.52029943,0.5028764,0.5061153,0.48604482,0
MC1_157034,MC1,157034,670,0,0.5283629,0.5111081,0.52223593,0.49360466,0
MC1_118835,MC1,118835,670,0,0.52853185,0.5167303,0.52266955,0.5036079,0
MC1_122179,MC1,122179,670,0,0.52253497,0.50515217,0.5106017,0.48783296,0
MC1_125438,MC1,125438,670,0,0.5203671,0.50289273,0.5062617,0.48543736,0
MC1_80012,MC1,80012,670,0,0.528285,0.51129544,0.5220307,0.4934644,0
MC1_170802,MC1,170802,670,0,0.528574,0.5115335,0.52278715,0.49548644,0
MC1_62564,MC1,62564,670,0,0.526088,0.5096282,0.5176221,0.4938382,0
MC1_125636,MC1,125636,656,0,0.52931255,0.5130743,0.5241335,0.49601397,0
MC1_51275,MC1,51275,670,0,0.6173473,0.5152137,0.52605337,0.4963873,0
MC1_92750,MC1,92750,670,0,0.6041846,0.5149597,0.5256617,0.49928227,0
MC1_98108,MC1,98108,656,0,0.52543277,0.45093513,0.5163186,0.0,0
MC1_105976,MC1,105976,670,0,0.52242124,0.5049384,0.5103635,0.4874554,0
MC1_88572,MC1,88572,670,0,0.5225366,0.50550234,0.5105918,0.48825973,0
MC1_116044,MC1,116044,670,0,0.5201589,0.5027229,0.50583124,0.4864565,0
MC1_149043,MC1,149043,670,0,0.5183269,0.5008546,0.5021591,0.48344487,0
MC1_148393,MC1,148393,670,0,0.5181076,0.50061846,0.50171554,0.48314768,0
MC1_177432,MC1,177432,670,0,0.5313643,0.5127369,0.5241468,0.49528316,0
MC1_28786,MC1,28786,670,0,0.52089894,0.5034138,0.50731903,0.48593375,0
MC1_63999,MC1,63999,670,0,0.5153574,0.4979182,0.4962106,0.48060367,0
MC1_57377,MC1,57377,656,0,0.5251249,0.50900257,0.51649594,0.49190977,0
MC1_79150,MC1,79150,670,0,0.5287699,0.5118711,0.5233384,0.4945438,0
MC1_82347,MC1,82347,670,0,0.5307573,0.5127396,0.5241673,0.49540022,0
MC1_109680,MC1,109680,670,0,0.5183426,0.500905,0.5021858,0.48376456,0
MC1_108375,MC1,108375,670,0,0.5227408,0.5052587,0.5110135,0.48777464,0
MC1_53710,MC1,53710,656,0,0.6440351,0.513783,1.65074e-07,0.4984055,0
MC1_48846,MC1,48846,670,0,0.52036095,0.5028685,0.50624514,0.48538938,0
MC1_180665,MC1,180665,490,29,0.5287964,0.51656467,0.5234048,0.5040832,1
MC1_178913,MC1,178913,670,0,0.64367855,0.517377,0.5287454,0.49738276,0
MC1_97044,MC1,97044,656,0,0.52756464,0.51047695,0.5205099,0.49335617,0
MC1_184051,MC1,184051,670,0,0.5285634,0.51144624,0.52274257,0.49391815,0
MC1_102330,MC1,102330,670,0,0.5258706,0.5084643,0.51720685,0.49169213,0
MC1_195577,MC1,195577,670,0,0.51744264,0.49996713,0.50038695,0.4825282,0
MC1_172315,MC1,172315,669,0,0.5282242,0.5129096,0.5219961,0.49972907,0
MC1_196429,MC1,196429,670,0,0.52914286,0.5126924,0.52411824,0.49523574,0
MC1_157296,MC1,157296,119,30,0.6091758,0.53443974,0.52580047,0.52512556,1
MC1_154555,MC1,154555,670,0,0.5214333,0.50394607,0.50839853,0.48646522,0
MC1_14738,MC1,14738,670,0,0.526764,0.50956815,0.51894385,0.49183363,0
MC1_82995,MC1,82995,670,0,0.52876997,0.51182896,0.5233547,0.49451253,0
MC1_189841,MC1,189841,670,0,0.529078,0.5123669,0.52391267,0.49495476,0
MC1_131280,MC1,131280,670,0,0.52685404,0.50940335,0.519117,0.49192366,0
MC1_161609,MC1,161609,670,0,0.5290851,0.5124343,0.5239187,0.49525428,0
MC1_9151,MC1,9151,670,0,0.5232617,0.5057902,0.512066,0.4883228,0
MC1_52381,MC1,52381,670,0,0.52039856,0.50293654,0.5063176,0.48565313,0
MC1_64973,MC1,64973,670,0,0.6428669,0.5101046,2.4428411e-15,0.4979075,0
MC1_197498,MC1,197498,670,0,0.5280089,0.513512,0.5214414,0.4982489,0
MC1_10610,MC1,10610,670,0,0.5154082,0.49791366,0.4963106,0.48045963,0
MC1_68064,MC1,68064,670,0,0.5279912,0.5105852,0.5213696,0.49308962,0
MC1_45885,MC1,45885,670,0,0.52839303,0.5111624,0.5223133,0.49365708,0
MC1_50881,MC1,50881,670,0,0.5221856,0.50470674,0.50990146,0.48725635,0
MC1_9408,MC1,9408,670,0,0.52710456,0.51299363,0.51961845,0.502268,0
MC1_192382,MC1,192382,670,0,0.52791977,0.51053125,0.521218,0.49306235,0
MC1_1465,MC1,1465,670,0,0.5180404,0.50054914,0.501587,0.4830773,0
MC1_144154,MC1,144154,670,0,0.6355314,0.5159958,0.5267496,0.496591,0
MC1_105873,MC1,105873,670,0,0.52200544,0.5045496,0.50954205,0.48731583,0
MC1_159233,MC1,159233,670,0,0.5230981,0.505623,0.5117344,0.48815683,0
MC1_143862,MC1,143862,670,0,0.64300495,0.5172974,0.5288212,0.49695498,0
MC1_89454,MC1,89454,447,0,0.52908224,0.5202999,0.5239053,0.5135524,0
MC1_125588,MC1,125588,670,0,0.5328821,0.5127644,0.52419186,0.4952968,0
MC1_671,MC1,671,670,0,0.5219814,0.504506,0.5094939,0.48705265,0
MC1_185711,MC1,185711,670,0,0.5285701,0.51144207,0.5227802,0.49397427,0
MC1_166587,MC1,166587,670,0,0.5223531,0.5048745,0.51023006,0.48738775,0
MC1_24441,MC1,24441,670,0,0.5174844,0.49999335,0.50047493,0.4825236,0
MC1_189529,MC1,189529,670,0,0.51858026,0.5010856,0.5026834,0.48361656,0
MC1_40387,MC1,40387,670,0,0.64295566,0.5177362,0.3249406,0.49765134,0
MC1_118431,MC1,118431,670,0,0.64266026,0.51759374,0.33739007,0.49730653,0
MC1_167118,MC1,167118,670,0,0.5222992,0.50481266,0.5101184,0.4873291,0
MC1_130233,MC1,130233,670,0,0.5203957,0.50290763,0.5063116,0.48542964,0
MC1_12610,MC1,12610,670,0,0.5281537,0.5116022,0.5217998,0.4951783,0
MC1_132988,MC1,132988,671,0,0.5268935,0.5088555,0.09611733,0.4919514,0
MC1_174997,MC1,174997,670,0,0.5278731,0.51106405,0.52111834,0.49296337,0
MC1_135733,MC1,135733,670,0,0.638849,0.5168013,0.52698654,0.49759856,0
MC1_105580,MC1,105580,670,0,0.5287382,0.5118084,0.52329344,0.49438587,0
MC1_144589,MC1,144589,636,0,0.52503043,0.50969505,0.51555204,0.4957905,0
MC1_138101,MC1,138101,582,30,0.52597404,0.51085055,0.51739526,0.49570644,1
MC1_135388,MC1,135388,670,0,0.52597183,0.5085581,0.517391,0.49109066,0
MC1_189771,MC1,189771,670,0,0.5183232,0.50085944,0.5021505,0.48348042,0
MC1_3717,MC1,3717,670,0,0.6431578,0.5176711,0.37051484,0.49729642,0
MC1_173748,MC1,173748,670,0,0.52845216,0.5112427,0.522461,0.4937482,0
