model,disk_id,drive_score,drive_label,n_final_windows,final_window_start,final_window_end
MC1,7,0.4943125247955322,0,30,2019-11-02,2019-12-01
MC1,15,0.4998774826526642,0,30,2019-11-02,2019-12-01
MC1,61,0.5107871294021606,0,30,2019-11-02,2019-12-01
MC1,161,0.494384765625,0,30,2019-11-02,2019-12-01
MC1,164,0.49438825249671936,0,30,2019-11-02,2019-12-01
MC1,223,0.49540022015571594,0,30,2019-10-03,2019-11-01
MC1,407,0.4906342923641205,0,30,2019-11-02,2019-12-01
MC1,431,0.4993090033531189,0,30,2019-11-02,2019-12-01
MC1,452,0.5247992873191833,0,30,2019-11-02,2019-12-01
MC1,565,0.48039811849594116,0,30,2019-11-02,2019-12-01
MC1,671,0.48705264925956726,0,30,2019-11-02,2019-12-01
MC1,703,0.5015028715133667,0,30,2019-11-02,2019-12-01
MC1,731,0.5024802684783936,0,30,2019-11-02,2019-12-01
MC1,770,0.5024828314781189,0,30,2019-11-02,2019-12-01
MC1,890,0.5123041868209839,1,30,2019-06-20,2019-07-19
MC1,1084,0.4804506003856659,0,30,2019-11-02,2019-12-01
MC1,1155,0.4966854453086853,0,30,2019-11-02,2019-12-01
MC1,1230,0.5171042084693909,0,30,2019-11-02,2019-12-01
MC1,1271,0.49390801787376404,0,30,2019-05-23,2019-06-21
MC1,1306,0.5068297982215881,0,30,2019-11-02,2019-12-01
MC1,1406,0.4997475743293762,0,30,2019-11-02,2019-12-01
MC1,1465,0.4830772876739502,0,30,2019-11-02,2019-12-01
MC1,1492,0.49115216732025146,0,30,2019-11-02,2019-12-01
MC1,1510,0.48534095287323,0,30,2019-11-02,2019-12-01
MC1,1637,0.4935871958732605,0,30,2019-11-02,2019-12-01
MC1,1854,0.5030972957611084,0,30,2019-11-02,2019-12-01
MC1,2032,0.4857648015022278,0,30,2019-11-02,2019-12-01
MC1,2624,0.5140444040298462,0,30,2018-12-27,2019-01-25
MC1,2835,0.49746423959732056,0,30,2019-11-02,2019-12-01
MC1,2891,0.4987422823905945,0,30,2019-11-02,2019-12-01
MC1,2925,0.5117900371551514,0,30,2019-11-02,2019-12-01
MC1,2977,0.49605220556259155,0,30,2019-11-02,2019-12-01
MC1,2990,0.49939051270484924,0,30,2019-11-02,2019-12-01
MC1,3188,0.5088018774986267,0,30,2019-11-02,2019-12-01
MC1,3300,0.5178591012954712,0,30,2019-11-02,2019-12-01
MC1,3341,0.494562029838562,0,30,2019-06-21,2019-07-20
MC1,3510,0.4965907633304596,0,30,2019-11-02,2019-12-01
MC1,3566,0.49397486448287964,0,30,2019-11-02,2019-12-01
MC1,3637,0.5043030381202698,0,30,2019-11-02,2019-12-01
MC1,3717,0.49729642271995544,0,30,2019-11-02,2019-12-01
MC1,3776,0.4965882897377014,0,30,2019-11-02,2019-12-01
MC1,3793,0.5180734395980835,0,30,2019-07-19,2019-08-17
MC1,3879,0.49712079763412476,0,30,2019-11-02,2019-12-01
MC1,3914,0.5114302039146423,0,30,2019-11-02,2019-12-01
MC1,4356,0.4960688650608063,1,30,2019-09-02,2019-10-01
MC1,4373,0.4870791733264923,0,30,2019-11-02,2019-12-01
MC1,4414,0.49168750643730164,0,30,2019-08-14,2019-09-12
MC1,4442,0.5032963752746582,0,30,2019-11-02,2019-12-01
MC1,4500,0.48616844415664673,0,30,2019-11-02,2019-12-01
MC1,4531,0.5027021765708923,0,30,2019-11-02,2019-12-01
MC1,4593,0.5070276856422424,0,30,2019-11-02,2019-12-01
MC1,4624,0.5042986273765564,0,30,2019-11-02,2019-12-01
MC1,4807,0.5072627067565918,0,30,2019-11-02,2019-12-01
MC1,5154,0.4905311167240143,0,30,2019-11-02,2019-12-01
MC1,5386,0.5059990882873535,0,30,2019-11-02,2019-12-01
MC1,5396,0.5032893419265747,1,30,2019-05-03,2019-06-01
MC1,5551,0.5404212474822998,0,30,2019-11-02,2019-12-01
MC1,5968,0.4963853061199188,0,30,2019-11-02,2019-12-01
MC1,6124,0.48371851444244385,0,30,2019-11-02,2019-12-01
MC1,6222,0.4991370439529419,0,30,2019-11-02,2019-12-01
MC1,6242,0.5041489005088806,0,30,2019-11-02,2019-12-01
MC1,6472,0.4933387041091919,0,30,2019-10-19,2019-11-17
MC1,6501,0.5096122622489929,0,30,2019-11-02,2019-12-01
MC1,6512,0.5070403814315796,0,30,2019-11-02,2019-12-01
MC1,6549,0.49735480546951294,0,30,2019-11-02,2019-12-01
MC1,6736,0.5029972791671753,0,30,2019-11-02,2019-12-01
MC1,6789,0.5159185528755188,0,30,2019-11-02,2019-12-01
MC1,6801,0.4985896944999695,0,30,2019-11-02,2019-12-01
MC1,6802,0.5005658268928528,0,30,2019-11-02,2019-12-01
MC1,7112,0.498929888010025,0,30,2019-11-02,2019-12-01
MC1,7209,0.5110718011856079,0,30,2019-11-02,2019-12-01
MC1,7246,0.4869128167629242,0,30,2019-11-02,2019-12-01
MC1,7251,0.49027517437934875,0,30,2019-11-02,2019-12-01
MC1,7298,0.5117514729499817,0,30,2019-11-02,2019-12-01
MC1,7425,0.5026633143424988,0,30,2019-10-19,2019-11-17
MC1,7447,0.5101439356803894,0,30,2019-11-02,2019-12-01
MC1,7498,0.495948851108551,0,30,2019-11-02,2019-12-01
MC1,7689,0.5078778266906738,0,30,2019-11-02,2019-12-01
MC1,7715,0.5052524209022522,0,30,2019-11-02,2019-12-01
MC1,7800,0.48413169384002686,0,30,2019-11-02,2019-12-01
MC1,7937,0.4975830912590027,0,30,2019-11-02,2019-12-01
MC1,8242,0.5185465216636658,0,30,2018-12-29,2019-01-27
MC1,8394,0.5045854449272156,0,30,2019-11-02,2019-12-01
MC1,8613,0.4924921989440918,0,30,2019-10-19,2019-11-17
MC1,8765,0.4923873245716095,0,30,2019-11-02,2019-12-01
MC1,8923,0.5025950074195862,0,30,2019-11-02,2019-12-01
MC1,9081,0.48252788186073303,0,30,2019-11-02,2019-12-01
MC1,9151,0.48832279443740845,0,30,2019-11-02,2019-12-01
MC1,9296,0.5091316103935242,0,30,2019-11-02,2019-12-01
MC1,9385,0.4869343042373657,0,30,2019-11-02,2019-12-01
MC1,9404,0.48592349886894226,0,30,2019-11-02,2019-12-01
MC1,9408,0.5022680163383484,0,30,2019-11-02,2019-12-01
MC1,9472,0.4964359700679779,0,30,2019-11-02,2019-12-01
MC1,9583,0.48544588685035706,0,30,2019-11-02,2019-12-01
MC1,9612,0.509383499622345,0,30,2019-11-02,2019-12-01
MC1,9628,0.5044441819190979,0,30,2019-11-02,2019-12-01
MC1,9654,0.4838434159755707,0,30,2019-11-02,2019-12-01
MC1,10033,0.48797014355659485,0,30,2019-11-02,2019-12-01
MC1,10141,0.5024088621139526,0,30,2019-11-02,2019-12-01
MC1,10271,0.5024843215942383,0,30,2019-11-02,2019-12-01
MC1,10333,0.5014987587928772,0,30,2019-11-02,2019-12-01
MC1,10385,0.4804491698741913,0,30,2019-11-02,2019-12-01
MC1,10596,0.48070114850997925,0,30,2019-11-02,2019-12-01
MC1,10607,0.49640774726867676,0,30,2019-11-02,2019-12-01
MC1,10610,0.48045963048934937,0,30,2019-11-02,2019-12-01
MC1,10719,0.5094534158706665,0,30,2019-11-02,2019-12-01
MC1,10746,0.49806737899780273,0,30,2019-11-02,2019-12-01
MC1,10831,0.49125513434410095,0,30,2019-11-02,2019-12-01
MC1,11218,0.4944359362125397,0,30,2019-11-02,2019-12-01
MC1,11227,0.4944359362125397,0,30,2019-11-02,2019-12-01
MC1,11348,0.4835406243801117,0,30,2019-11-02,2019-12-01
MC1,11394,0.5027954578399658,0,30,2019-10-19,2019-11-17
MC1,11397,0.5027948021888733,0,30,2019-10-19,2019-11-17
MC1,11500,0.4975787103176117,1,30,2019-09-01,2019-09-30
MC1,11615,0.492632657289505,0,30,2019-11-02,2019-12-01
MC1,11623,0.5094836950302124,0,30,2019-11-02,2019-12-01
MC1,11863,0.48783761262893677,0,30,2019-11-02,2019-12-01
MC1,11879,0.516413688659668,0,30,2019-11-02,2019-12-01
MC1,11948,0.4859235882759094,0,30,2019-11-02,2019-12-01
MC1,11968,0.4805135130882263,0,30,2019-11-02,2019-12-01
MC1,12022,0.49231648445129395,0,30,2019-11-02,2019-12-01
MC1,12045,0.49933165311813354,0,30,2019-11-02,2019-12-01
MC1,12120,0.4950164258480072,0,30,2019-11-02,2019-12-01
MC1,12610,0.49517831206321716,0,30,2019-11-02,2019-12-01
MC1,12779,0.4942272901535034,0,30,2019-11-02,2019-12-01
MC1,12988,0.4976882338523865,1,30,2019-09-19,2019-10-18
MC1,13015,0.5922070741653442,0,30,2018-08-19,2018-09-17
MC1,13138,0.4953325390815735,0,30,2019-10-03,2019-11-01
MC1,13139,0.4953346848487854,0,30,2019-10-03,2019-11-01
MC1,13174,0.49543124437332153,0,30,2019-11-02,2019-12-01
MC1,13400,0.5046451687812805,0,30,2019-11-02,2019-12-01
MC1,13584,0.5096811652183533,0,30,2019-11-02,2019-12-01
MC1,13670,0.5117206573486328,0,30,2019-11-02,2019-12-01
MC1,13730,0.49513494968414307,0,30,2019-11-02,2019-12-01
MC1,13773,0.489679753780365,0,30,2019-10-19,2019-11-17
MC1,13915,0.4989824891090393,0,30,2019-11-02,2019-12-01
MC1,14238,0.49728965759277344,0,30,2019-11-02,2019-12-01
MC1,14311,0.5158957242965698,1,30,2018-06-17,2018-07-16
MC1,14326,0.5020332932472229,0,30,2019-11-02,2019-12-01
MC1,14455,0.4854487180709839,0,30,2019-11-02,2019-12-01
MC1,14665,0.5173730254173279,0,30,2019-11-01,2019-11-30
MC1,14738,0.4918336272239685,0,30,2019-11-02,2019-12-01
MC1,14878,0.49569952487945557,0,30,2019-07-11,2019-08-09
MC1,14935,0.5080373287200928,0,30,2019-11-02,2019-12-01
MC1,15011,0.49154093861579895,0,30,2019-11-02,2019-12-01
MC1,15316,0.4919499158859253,0,30,2019-11-02,2019-12-01
MC1,15443,0.515081524848938,0,30,2019-11-02,2019-12-01
MC1,15604,0.4953087866306305,0,30,2019-11-02,2019-12-01
MC1,15990,0.49758026003837585,0,30,2019-11-02,2019-12-01
MC1,15991,0.49757954478263855,0,30,2019-11-02,2019-12-01
MC1,16194,0.5026454925537109,0,30,2019-11-02,2019-12-01
MC1,16261,0.49359095096588135,0,30,2019-11-02,2019-12-01
MC1,16269,0.5002031922340393,0,30,2019-11-02,2019-12-01
MC1,16532,0.4940453767776489,0,30,2019-09-03,2019-10-02
MC1,16571,0.4969421327114105,0,30,2019-11-02,2019-12-01
MC1,16625,0.4899650812149048,0,30,2019-08-18,2019-09-16
MC1,16672,0.4563901424407959,0,25,2019-11-07,2019-12-01
MC1,17713,0.49923428893089294,0,30,2019-11-02,2019-12-01
MC1,17895,0.515826404094696,0,30,2019-11-02,2019-12-01
MC1,18236,0.49644118547439575,0,30,2019-11-02,2019-12-01
MC1,18245,0.5124202966690063,0,30,2019-10-19,2019-11-17
MC1,18388,0.49746647477149963,0,30,2019-11-02,2019-12-01
MC1,18814,0.5024420022964478,0,30,2019-11-02,2019-12-01
MC1,18855,0.0,1,30,2019-11-03,2019-12-02
MC1,18898,0.49052441120147705,0,30,2019-11-02,2019-12-01
MC1,18955,0.4933512508869171,0,30,2019-11-02,2019-12-01
MC1,18970,0.5137314796447754,0,30,2019-11-02,2019-12-01
MC1,18986,0.5580507516860962,0,30,2019-11-02,2019-12-01
MC1,19001,0.5093919038772583,0,30,2019-11-02,2019-12-01
MC1,19026,0.5271145105361938,0,30,2019-11-02,2019-12-01
MC1,19266,0.49111664295196533,0,30,2019-11-02,2019-12-01
MC1,19339,0.49432173371315,0,30,2019-11-02,2019-12-01
MC1,19469,0.5098543167114258,0,30,2019-11-02,2019-12-01
MC1,19618,0.4903671145439148,1,30,2019-08-19,2019-09-17
MC1,19735,0.4962962567806244,0,30,2019-11-02,2019-12-01
MC1,19744,0.49513161182403564,0,30,2019-11-02,2019-12-01
MC1,19905,0.4982755780220032,0,30,2019-11-02,2019-12-01
MC1,19974,0.49861279129981995,0,30,2019-11-02,2019-12-01
MC1,20071,0.523315966129303,0,30,2019-11-02,2019-12-01
MC1,20123,0.5060110092163086,0,30,2019-11-02,2019-12-01
MC1,20147,0.4939559996128082,0,30,2019-05-23,2019-06-21
MC1,20151,0.504835844039917,0,30,2019-11-02,2019-12-01
MC1,20254,0.5000059604644775,0,30,2019-11-02,2019-12-01
MC1,20270,0.5065974593162537,0,30,2019-11-02,2019-12-01
MC1,20287,0.4870578944683075,0,30,2019-11-02,2019-12-01
MC1,20330,0.5036218762397766,0,30,2019-11-02,2019-12-01
MC1,20409,0.5100021362304688,1,30,2019-09-18,2019-10-17
MC1,20412,0.4950075149536133,0,30,2019-11-02,2019-12-01
MC1,20875,0.500773012638092,0,30,2019-11-02,2019-12-01
MC1,20881,0.4976681172847748,0,30,2019-11-02,2019-12-01
MC1,20884,0.4976681172847748,0,30,2019-11-02,2019-12-01
MC1,21009,0.0,0,30,2019-11-02,2019-12-01
MC1,21054,0.4981977641582489,0,30,2019-11-02,2019-12-01
MC1,21508,0.5070133805274963,0,30,2019-11-02,2019-12-01
MC1,21533,0.511750340461731,0,30,2019-11-02,2019-12-01
MC1,21553,0.5002021789550781,0,30,2019-11-02,2019-12-01
MC1,21629,0.5291896462440491,0,30,2019-11-02,2019-12-01
MC1,21688,0.4903981685638428,0,30,2019-11-02,2019-12-01
MC1,21865,0.5141199827194214,0,30,2019-11-02,2019-12-01
MC1,21902,0.5252946019172668,0,30,2019-11-02,2019-12-01
MC1,22244,0.496106892824173,0,30,2019-11-02,2019-12-01
MC1,22276,0.494006872177124,1,30,2019-10-16,2019-11-14
MC1,22407,0.4993869960308075,0,30,2019-11-02,2019-12-01
MC1,22415,0.5116071105003357,0,30,2019-11-02,2019-12-01
MC1,22491,0.5180636048316956,0,30,2019-11-02,2019-12-01
MC1,22561,0.4951479136943817,0,30,2019-11-02,2019-12-01
MC1,22794,0.4952663779258728,0,30,2019-11-02,2019-12-01
MC1,22853,0.5066172480583191,0,30,2019-08-11,2019-09-09
MC1,22952,0.4936761260032654,0,30,2019-11-02,2019-12-01
MC1,23142,0.4855227768421173,0,30,2019-11-02,2019-12-01
MC1,23652,0.49601057171821594,0,30,2019-11-02,2019-12-01
MC1,23704,0.4898924231529236,0,30,2019-10-19,2019-11-17
MC1,23760,0.4963492453098297,0,30,2019-11-02,2019-12-01
MC1,23814,0.49488818645477295,0,30,2019-11-02,2019-12-01
MC1,23879,0.497610479593277,0,30,2019-11-02,2019-12-01
MC1,24005,0.4804500639438629,0,30,2019-11-02,2019-12-01
MC1,24066,0.5101177096366882,0,30,2019-11-02,2019-12-01
MC1,24156,0.4893631339073181,0,30,2019-11-02,2019-12-01
MC1,24441,0.4825235903263092,0,30,2019-11-02,2019-12-01
MC1,24449,0.4825235903263092,0,30,2019-11-02,2019-12-01
MC1,24464,0.5099785327911377,0,30,2019-11-02,2019-12-01
MC1,24486,0.4984368085861206,0,30,2019-11-02,2019-12-01
MC1,24500,0.48566097021102905,0,30,2019-11-02,2019-12-01
MC1,24608,0.4920639097690582,0,30,2019-11-02,2019-12-01
MC1,24622,0.48735910654067993,0,30,2019-11-02,2019-12-01
MC1,24864,0.48834916949272156,0,30,2019-11-02,2019-12-01
MC1,25065,0.4996052384376526,0,30,2019-11-02,2019-12-01
MC1,25115,0.49141693115234375,0,30,2019-11-02,2019-12-01
MC1,25298,0.5021370649337769,0,30,2019-11-02,2019-12-01
MC1,25453,0.49438005685806274,0,30,2019-11-02,2019-12-01
MC1,25542,0.48540911078453064,0,30,2019-11-02,2019-12-01
MC1,25674,0.4960377812385559,0,30,2019-11-02,2019-12-01
MC1,25788,0.490058958530426,0,30,2019-11-02,2019-12-01
MC1,26006,0.5076462626457214,0,30,2019-02-21,2019-03-22
MC1,26050,0.4912704527378082,0,30,2019-10-19,2019-11-17
MC1,26408,0.49939194321632385,0,30,2019-11-02,2019-12-01
MC1,26562,0.49639835953712463,0,30,2019-11-02,2019-12-01
MC1,26603,0.4882025718688965,0,30,2019-10-19,2019-11-17
MC1,26675,0.504222571849823,0,30,2019-11-02,2019-12-01
MC1,26861,0.4978199601173401,0,30,2019-11-02,2019-12-01
MC1,26939,0.4946008324623108,1,30,2019-07-05,2019-08-03
MC1,27259,0.5095569491386414,0,30,2019-11-02,2019-12-01
MC1,27270,0.48764047026634216,0,30,2019-11-02,2019-12-01
MC1,27362,0.4937483072280884,0,30,2019-11-02,2019-12-01
MC1,27567,0.4953797459602356,0,30,2019-11-02,2019-12-01
MC1,28010,0.4895753860473633,1,30,2019-09-19,2019-10-18
MC1,28134,0.512487530708313,0,30,2019-10-19,2019-11-17
MC1,28395,0.49800941348075867,0,30,2019-11-02,2019-12-01
MC1,28567,0.504453182220459,0,30,2019-11-02,2019-12-01
MC1,28602,0.49642738699913025,0,30,2019-11-02,2019-12-01
MC1,28786,0.48593375086784363,0,30,2019-11-02,2019-12-01
MC1,28805,0.48369866609573364,0,30,2019-11-02,2019-12-01
MC1,28827,0.5106014013290405,0,30,2019-11-02,2019-12-01
MC1,28894,0.5093926191329956,0,30,2019-11-02,2019-12-01
MC1,29237,0.4936622381210327,0,30,2019-10-19,2019-11-17
MC1,29284,0.49356383085250854,0,30,2019-11-02,2019-12-01
MC1,29310,0.5069352388381958,0,30,2019-11-02,2019-12-01
MC1,29397,0.4936591684818268,0,30,2019-11-02,2019-12-01
MC1,29517,0.5095306634902954,0,30,2019-11-02,2019-12-01
MC1,29533,0.510803759098053,0,30,2019-11-02,2019-12-01
MC1,29595,0.49234479665756226,0,30,2019-11-02,2019-12-01
MC1,29704,0.5105828642845154,0,30,2019-11-02,2019-12-01
MC1,29725,0.48040318489074707,0,30,2019-11-02,2019-12-01
MC1,29738,0.48833268880844116,0,30,2019-11-02,2019-12-01
MC1,29780,0.5041130185127258,1,30,2019-05-17,2019-06-15
MC1,29823,0.5193561315536499,0,30,2019-11-02,2019-12-01
MC1,29955,0.5044553875923157,0,30,2019-11-02,2019-12-01
MC1,29990,0.5086587071418762,0,30,2019-11-02,2019-12-01
MC1,30167,0.4806152284145355,0,30,2019-11-02,2019-12-01
MC1,30494,0.4890074133872986,0,30,2019-11-02,2019-12-01
MC1,30578,0.5055198669433594,0,30,2019-11-02,2019-12-01
MC1,30688,0.5119028091430664,0,30,2019-11-02,2019-12-01
MC1,30860,0.5046051144599915,0,30,2019-11-02,2019-12-01
MC1,31067,0.49526169896125793,0,30,2019-11-02,2019-12-01
MC1,31192,0.5137092471122742,1,30,2019-06-27,2019-07-26
MC1,31334,0.48782485723495483,0,30,2019-11-02,2019-12-01
MC1,31576,0.49645909667015076,0,30,2019-11-02,2019-12-01
MC1,32070,0.4950476288795471,0,30,2019-11-02,2019-12-01
MC1,32081,0.4988290071487427,0,30,2019-11-02,2019-12-01
MC1,32083,0.487255722284317,0,30,2019-11-02,2019-12-01
MC1,32090,0.48725390434265137,0,30,2019-11-02,2019-12-01
MC1,32183,0.49779167771339417,0,30,2019-11-02,2019-12-01
MC1,32231,0.4869575798511505,0,30,2019-11-02,2019-12-01
MC1,32330,0.4869583249092102,0,30,2019-11-02,2019-12-01
MC1,32442,0.4919072091579437,0,30,2019-08-23,2019-09-21
MC1,33062,0.4949151575565338,0,30,2019-11-02,2019-12-01
MC1,33112,0.48539426922798157,0,30,2019-11-02,2019-12-01
MC1,33114,0.48539426922798157,0,30,2019-11-02,2019-12-01
MC1,33250,0.5166987776756287,0,30,2019-11-02,2019-12-01
MC1,33306,0.4859766364097595,0,30,2019-11-02,2019-12-01
MC1,33502,0.48925718665122986,0,30,2019-11-02,2019-12-01
MC1,33649,0.48990532755851746,0,30,2019-11-02,2019-12-01
MC1,33766,0.5068328976631165,0,30,2019-11-02,2019-12-01
MC1,33821,0.5175938010215759,0,30,2019-11-01,2019-11-30
MC1,33927,0.4875684380531311,0,30,2019-11-02,2019-12-01
MC1,33960,0.49925628304481506,0,30,2019-11-02,2019-12-01
MC1,34115,0.48092857003211975,0,30,2019-11-02,2019-12-01
MC1,34298,0.5113579034805298,0,30,2019-02-07,2019-03-08
MC1,34393,0.5033551454544067,0,30,2019-08-13,2019-09-11
MC1,34484,0.5138779282569885,0,30,2019-10-19,2019-11-17
MC1,34611,0.632813036441803,0,30,2019-11-02,2019-12-01
MC1,35048,0.5029349327087402,0,30,2019-11-02,2019-12-01
MC1,35196,0.49913308024406433,0,30,2019-11-02,2019-12-01
MC1,35403,0.4922361671924591,0,30,2019-10-19,2019-11-17
MC1,35487,0.5283133387565613,0,30,2018-03-22,2018-04-20
MC1,35590,0.49518147110939026,0,30,2019-11-02,2019-12-01
MC1,35629,0.49111852049827576,0,30,2019-11-02,2019-12-01
MC1,35648,1.526318695540971e-16,0,13,2019-11-19,2019-12-01
MC1,35679,0.5119338631629944,0,30,2019-11-02,2019-12-01
MC1,35682,0.5119326114654541,0,30,2019-11-02,2019-12-01
MC1,36019,0.5110247731208801,0,30,2019-11-02,2019-12-01
MC1,36256,0.48308005928993225,0,30,2019-11-02,2019-12-01
MC1,36288,0.49733975529670715,0,30,2019-11-02,2019-12-01
MC1,36332,0.5044540762901306,0,30,2019-11-02,2019-12-01
MC1,36392,0.49437037110328674,0,30,2019-11-02,2019-12-01
MC1,36474,0.4953005313873291,0,30,2019-11-02,2019-12-01
MC1,36562,0.4972858130931854,0,30,2019-11-02,2019-12-01
MC1,36576,0.5069672465324402,0,30,2019-11-02,2019-12-01
MC1,36833,0.4826202094554901,0,30,2019-11-02,2019-12-01
MC1,36912,0.4972875118255615,0,30,2019-11-02,2019-12-01
MC1,36924,0.49388134479522705,0,30,2019-11-02,2019-12-01
MC1,36943,0.48044976592063904,0,30,2019-11-02,2019-12-01
MC1,36996,0.4981028437614441,0,30,2019-11-02,2019-12-01
MC1,37117,0.5260586738586426,0,30,2019-11-02,2019-12-01
MC1,37217,0.48252764344215393,0,30,2019-11-02,2019-12-01
MC1,37272,0.4966190457344055,0,30,2019-11-02,2019-12-01
MC1,37432,0.5022101998329163,0,30,2019-11-02,2019-12-01
MC1,37443,0.5022101998329163,0,30,2019-11-02,2019-12-01
MC1,37552,0.5156293511390686,0,30,2019-11-02,2019-12-01
MC1,37567,0.5068432688713074,0,30,2019-11-02,2019-12-01
MC1,37617,0.4908020496368408,0,30,2019-11-02,2019-12-01
MC1,37626,0.49625635147094727,0,30,2019-11-02,2019-12-01
MC1,37686,0.4852457344532013,0,30,2019-11-02,2019-12-01
MC1,37757,0.4940144121646881,0,30,2019-11-02,2019-12-01
MC1,37792,0.49684202671051025,0,30,2019-11-02,2019-12-01
MC1,37817,0.5179880261421204,0,30,2019-11-02,2019-12-01
MC1,37818,0.5179880261421204,0,30,2019-11-02,2019-12-01
MC1,37844,0.48919373750686646,0,30,2019-11-02,2019-12-01
MC1,37951,0.48575878143310547,0,30,2019-11-02,2019-12-01
MC1,38078,0.488721638917923,0,30,2019-11-02,2019-12-01
MC1,38154,0.4919753074645996,0,30,2019-11-02,2019-12-01
MC1,38413,0.5036148428916931,0,30,2019-11-02,2019-12-01
MC1,38424,0.5061729550361633,0,30,2019-11-02,2019-12-01
MC1,38459,0.49314677715301514,0,30,2019-11-02,2019-12-01
MC1,38613,0.4902587831020355,0,30,2019-11-02,2019-12-01
MC1,38672,0.4923247992992401,0,30,2019-11-02,2019-12-01
MC1,38754,0.5010977387428284,0,30,2019-11-02,2019-12-01
MC1,38856,0.5050410032272339,0,30,2019-10-19,2019-11-17
MC1,38882,0.49381643533706665,0,30,2019-11-02,2019-12-01
MC1,39085,0.4951963424682617,0,30,2019-11-02,2019-12-01
MC1,39090,0.5098697543144226,0,30,2019-11-02,2019-12-01
MC1,39109,0.49053463339805603,0,30,2019-11-02,2019-12-01
MC1,39159,0.4924401044845581,0,30,2019-11-02,2019-12-01
MC1,39299,0.4869832694530487,0,30,2019-11-02,2019-12-01
MC1,39349,0.4998658001422882,1,30,2019-09-25,2019-10-24
MC1,39381,0.48966139554977417,0,30,2019-11-02,2019-12-01
MC1,39514,0.48384541273117065,0,30,2019-11-02,2019-12-01
MC1,39659,0.49334248900413513,0,30,2019-11-02,2019-12-01
MC1,39662,0.5101245045661926,0,30,2019-10-19,2019-11-17
MC1,39712,0.5094090700149536,0,30,2019-11-02,2019-12-01
MC1,39771,0.5005258321762085,0,30,2019-11-02,2019-12-01
MC1,39823,0.49109703302383423,0,30,2019-11-02,2019-12-01
MC1,39898,0.5187967419624329,1,30,2018-04-04,2018-05-03
MC1,40011,0.4852403998374939,0,30,2019-11-02,2019-12-01
MC1,40387,0.4976513385772705,0,30,2019-11-02,2019-12-01
MC1,40475,0.49806877970695496,0,30,2019-11-02,2019-12-01
