model,disk_id,drive_score,drive_label,n_final_windows,final_window_start,final_window_end
MC1,7,0.49570536613464355,0,30,2019-11-02,2019-12-01
MC1,15,0.5013796091079712,0,30,2019-11-02,2019-12-01
MC1,61,0.5122535228729248,0,30,2019-11-02,2019-12-01
MC1,161,0.4958869516849518,0,30,2019-11-02,2019-12-01
MC1,164,0.49589022994041443,0,30,2019-11-02,2019-12-01
MC1,223,0.4969176650047302,0,30,2019-10-03,2019-11-01
MC1,407,0.49213600158691406,0,30,2019-11-02,2019-12-01
MC1,431,0.5008101463317871,0,30,2019-11-02,2019-12-01
MC1,452,0.5262883305549622,0,30,2019-11-02,2019-12-01
MC1,565,0.481903612613678,0,30,2019-11-02,2019-12-01
MC1,671,0.4885506331920624,0,30,2019-11-02,2019-12-01
MC1,703,0.5030069947242737,0,30,2019-11-02,2019-12-01
MC1,731,0.503980278968811,0,30,2019-11-02,2019-12-01
MC1,770,0.5039836168289185,0,30,2019-11-02,2019-12-01
MC1,890,0.5138212442398071,1,30,2019-06-20,2019-07-19
MC1,1084,0.48194944858551025,0,30,2019-11-02,2019-12-01
MC1,1155,0.4981870949268341,0,30,2019-11-02,2019-12-01
MC1,1230,0.5186066031455994,0,30,2019-11-02,2019-12-01
MC1,1271,0.4954249858856201,0,30,2019-05-23,2019-06-21
MC1,1306,0.5083296298980713,0,30,2019-11-02,2019-12-01
MC1,1406,0.501248836517334,0,30,2019-11-02,2019-12-01
MC1,1465,0.48457637429237366,0,30,2019-11-02,2019-12-01
MC1,1492,0.4926512837409973,0,30,2019-11-02,2019-12-01
MC1,1510,0.4868362247943878,0,30,2019-11-02,2019-12-01
MC1,1637,0.49508771300315857,0,30,2019-11-02,2019-12-01
MC1,1854,0.5046010613441467,0,30,2019-11-02,2019-12-01
MC1,2032,0.4872605800628662,0,30,2019-11-02,2019-12-01
MC1,2624,0.5155644416809082,0,30,2018-12-27,2019-01-25
MC1,2835,0.4989635944366455,0,30,2019-11-02,2019-12-01
MC1,2891,0.5002430081367493,0,30,2019-11-02,2019-12-01
