fold,drive_id,model,disk_id,drive_label,total_windows,positive_windows,first_window_date,last_window_date,first_positive_date,last_positive_date,first_positive_probability,last_positive_probability,max_positive_probability,max_probability,mean_probability,last_window_probability
C,MC1_100012,MC1,100012,0,10,0,2019-11-22,2019-12-01,,,,,,1.2075006e-23,1.2092447e-24,1.2075006e-23
C,MC1_100030,MC1,100030,0,670,0,2018-01-31,2019-12-01,,,,,,0.52856725,0.51153827,0.4940334
C,MC1_100103,MC1,100103,0,670,0,2018-01-31,2019-12-01,,,,,,0.52462393,0.5072358,0.48984584
C,MC1_100124,MC1,100124,0,670,0,2018-01-31,2019-12-01,,,,,,0.5250904,0.5076375,0.4901529
C,MC1_100154,MC1,100154,0,670,0,2018-01-31,2019-12-01,,,,,,0.52872264,0.51516557,0.5011164
C,MC1_100163,MC1,100163,0,577,0,2018-01-31,2019-08-30,,,,,,0.52036315,0.5053181,0.49027264
C,MC1_100249,MC1,100249,1,591,30,2018-01-31,2019-09-13,2019-08-15,2019-09-13,0.5023154616355896,0.5007988810539246,0.5023154616355896,0.60945714,0.5172076,0.5007989
C,MC1_10033,MC1,10033,0,670,0,2018-01-31,2019-12-01,,,,,,0.52279294,0.50533766,0.48797014
C,MC1_100376,MC1,100376,0,670,0,2018-01-31,2019-12-01,,,,,,0.5276612,0.5102279,0.4927793
C,MC1_100470,MC1,100470,0,289,0,2019-02-16,2019-12-01,,,,,,0.52562094,0.5181216,0.5105723
C,MC1_100595,MC1,100595,0,565,0,2018-05-16,2019-12-01,,,,,,0.6438444,0.5051528,0.5037592
C,MC1_100643,MC1,100643,0,430,0,2018-09-28,2019-12-01,,,,,,0.64482695,0.5037598,0.5109029
C,MC1_100921,MC1,100921,0,670,0,2018-01-31,2019-12-01,,,,,,0.5206319,0.50314367,0.48566422
C,MC1_101310,MC1,101310,0,613,0,2018-03-29,2019-12-01,,,,,,0.6427627,0.50155735,0.5014361
C,MC1_10141,MC1,10141,0,594,0,2018-04-17,2019-12-01,,,,,,0.6432828,0.5022023,0.50240886
