drive_id,model,disk_id,windows,positive_windows,max_probability,mean_probability,first_probability,last_probability,drive_label,fold
MA1_32265,MA1,32265,403,0,0.49389693,0.49389693,0.49389693,0.49389693,0,A
MA2_71463,MA2,71463,671,0,0.49389693,0.49389693,0.49389693,0.49389693,0,A
MA1_13503,MA1,13503,671,0,0.49389693,0.49389693,0.49389693,0.49389693,0,A
MA2_78557,MA2,78557,635,0,0.49389693,0.49389693,0.49389693,0.49389693,0,A
MA2_94171,MA2,94171,631,0,0.49389693,0.49389693,0.49389693,0.49389693,0,A
MA1_13822,MA1,13822,523,0,0.49389693,0.49389696,0.49389693,0.49389693,0,A
MA1_8956,MA1,8956,242,30,0.49389693,0.49389693,0.49389693,0.49389693,1,A
MA2_29305,MA2,29305,635,0,0.49389693,0.49389693,0.49389693,0.49389693,0,A
MA2_61088,MA2,61088,430,0,0.49389693,0.49389693,0.49389693,0.49389693,0,A
MA2_105955,MA2,105955,635,0,0.49389693,0.49389693,0.49389693,0.49389693,0,A
MA2_23592,MA2,23592,293,0,0.49389693,0.49389696,0.49389693,0.49389693,0,A
MA2_97223,MA2,97223,663,0,0.49389693,0.49389693,0.49389693,0.49389693,0,A
MA2_39124,MA2,39124,459,0,0.49389693,0.49389693,0.49389693,0.49389693,0,A
MA2_2582,MA2,2582,635,0,0.49389693,0.49389693,0.49389693,0.49389693,0,A
MA2_92708,MA2,92708,635,0,0.49389693,0.49389693,0.49389693,0.49389693,0,A
MA2_28292,MA2,28292,671,0,0.49389693,0.49389693,0.49389693,0.49389693,0,A
MA2_75485,MA2,75485,671,0,0.49389693,0.49389693,0.49389693,0.49389693,0,A
MA2_35892,MA2,35892,595,0,0.49389693,0.49389693,0.49389693,0.49389693,0,A
MA2_96506,MA2,96506,586,0,0.49389693,0.49389696,0.49389693,0.49389693,0,A
MA1_39296,MA1,39296,635,0,0.49389693,0.49389693,0.49389693,0.49389693,0,A
MA1_27229,MA1,27229,403,0,0.49389693,0.49389693,0.49389693,0.49389693,0,A
MA2_53569,MA2,53569,633,0,0.49389693,0.49389693,0.49389693,0.49389693,0,A
MA2_81507,MA2,81507,664,0,0.49389693,0.49389693,0.49389693,0.49389693,0,A
MA2_68493,MA2,68493,659,0,0.0,0.0,0.0,0.0,0,A
MA2_77526,MA2,77526,457,0,0.49389693,0.49389693,0.49389693,0.49389693,0,A
MA2_117436,MA2,117436,671,0,0.49389693,0.49389693,0.49389693,0.49389693,0,A
MA2_28356,MA2,28356,364,0,0.49389693,0.49389693,0.49389693,0.49389693,0,A
MA2_98052,MA2,98052,670,0,0.49389693,0.49389693,0.49389693,0.49389693,0,A
MA2_90502,MA2,90502,631,0,0.49389693,0.49389693,0.49389693,0.49389693,0,A
MA2_101430,MA2,101430,671,0,0.49389693,0.49389693,0.49389693,0.49389693,0,A
MA2_52063,MA2,52063,458,0,0.49389693,0.49389693,0.49389693,0.49389693,0,A
MA2_34465,MA2,34465,671,0,0.49389693,0.49389693,0.49389693,0.49389693,0,A
MA2_78625,MA2,78625,635,0,0.49389693,0.49389693,0.49389693,0.49389693,0,A
MA1_35122,MA1,35122,671,0,0.49389693,0.49389693,0.49389693,0.49389693,0,A
MA2_29104,MA2,29104,635,0,0.49389693,0.49389693,0.49389693,0.49389693,0,A
MA1_10021,MA1,10021,278,0,0.49389693,0.49389693,0.49389693,0.49389693,0,A
MA1_5085,MA1,5085,635,0,0.49389693,0.49389693,0.49389693,0.49389693,0,A
MA2_95676,MA2,95676,671,0,0.49389693,0.49389693,0.49389693,0.49389693,0,A
MA1_42931,MA1,42931,671,0,0.49389693,0.49389693,0.49389693,0.49389693,0,A
MA2_98559,MA2,98559,460,0,0.49389693,0.4938969,0.49389693,0.49389693,0,A
MA2_21981,MA2,21981,671,0,0.49389693,0.49389693,0.49389693,0.49389693,0,A
MA2_83229,MA2,83229,657,0,0.49389693,0.49389696,0.49389693,0.49389693,0,A
MA2_33850,MA2,33850,624,0,0.49389693,0.49389693,0.49389693,0.49389693,0,A
MA2_50253,MA2,50253,671,0,0.49389693,0.49389693,0.49389693,0.49389693,0,A
MA1_18069,MA1,18069,671,0,0.68235797,0.66891086,0.5915273,0.65562683,0,A
MA2_32564,MA2,32564,491,0,0.49389693,0.49389693,0.49389693,0.49389693,0,A
MA2_87395,MA2,87395,407,0,0.49389693,0.49389693,0.49389693,0.49389693,0,A
MA2_62211,MA2,62211,277,0,0.49389693,0.49389693,0.49389693,0.49389693,0,A
MA1_15976,MA1,15976,635,0,0.49389693,0.49389693,0.49389693,0.49389693,0,A
MA2_49118,MA2,49118,635,0,0.49389693,0.49389693,0.49389693,0.49389693,0,A
MA1_15242,MA1,15242,671,0,0.49389693,0.49389693,0.49389693,0.49389693,0,A
MA2_72243,MA2,72243,671,0,0.49389693,0.49389693,0.49389693,0.49389693,0,A
MA1_15402,MA1,15402,431,0,0.49389693,0.49389693,0.49389693,0.49389693,0,A
MA1_2859,MA1,2859,6,0,0.49389693,0.49389693,0.49389693,0.49389693,0,A
MA1_1622,MA1,1622,671,0,0.49389693,0.49389693,0.49389693,0.49389693,0,A
MA2_39862,MA2,39862,671,0,0.49389693,0.49389693,0.49389693,0.49389693,0,A
MA2_101480,MA2,101480,671,0,0.49389693,0.49389693,0.49389693,0.49389693,0,A
MA1_40766,MA1,40766,671,0,0.49389693,0.49389693,0.49389693,0.49389693,0,A
MA2_22223,MA2,22223,635,0,0.49389693,0.49389693,0.49389693,0.49389693,0,A
MA2_81987,MA2,81987,117,0,0.49389693,0.49389693,0.49389693,0.49389693,0,A
MA1_9559,MA1,9559,118,0,0.49389693,0.49389693,0.49389693,0.49389693,0,A
MA1_36290,MA1,36290,671,0,0.49389693,0.49389693,0.49389693,0.49389693,0,A
MA2_25060,MA2,25060,671,0,0.49389693,0.49389693,0.49389693,0.49389693,0,A
MA2_44617,MA2,44617,657,0,0.49389693,0.49389696,0.49389693,0.49389693,0,A
MA2_107208,MA2,107208,671,0,0.49389693,0.49389693,0.49389693,0.49389693,0,A
MA2_26865,MA2,26865,671,0,0.49389693,0.49389693,0.49389693,0.49389693,0,A
MA1_9400,MA1,9400,671,0,0.49389693,0.49389693,0.49389693,0.49389693,0,A
MA2_60549,MA2,60549,671,0,0.49389693,0.49389693,0.49389693,0.49389693,0,A
MA2_24883,MA2,24883,671,0,0.49389693,0.49389693,0.49389693,0.49389693,0,A
MA2_15810,MA2,15810,671,0,0.49389693,0.49389693,0.49389693,0.49389693,0,A
MA2_84558,MA2,84558,635,0,0.49389693,0.49389693,0.49389693,0.49389693,0,A
MA2_55923,MA2,55923,635,0,0.49389693,0.49389693,0.49389693,0.49389693,0,A
MA2_45232,MA2,45232,501,0,0.49389693,0.49389693,0.49389693,0.49389693,0,A
MA2_118698,MA2,118698,645,0,0.49389693,0.4938969,0.49389693,0.49389693,0,A
MA2_114218,MA2,114218,458,0,0.49389693,0.49389693,0.49389693,0.49389693,0,A
MA2_90560,MA2,90560,468,0,0.49389693,0.49389693,0.49389693,0.49389693,0,A
MA2_61361,MA2,61361,671,0,0.49389693,0.49389693,0.49389693,0.49389693,0,A
MA2_43784,MA2,43784,671,0,0.49389693,0.49389693,0.49389693,0.49389693,0,A
MA2_77829,MA2,77829,657,0,0.49389693,0.49389696,0.49389693,0.49389693,0,A
MA1_22473,MA1,22473,278,0,0.49389693,0.49389693,0.49389693,0.49389693,0,A
MA2_48327,MA2,48327,313,0,0.49389693,0.49389693,0.49389693,0.49389693,0,A
MA2_116895,MA2,116895,671,0,0.49389693,0.49389693,0.49389693,0.49389693,0,A
MA2_67142,MA2,67142,174,0,0.49389693,0.49389693,0.49389693,0.49389693,0,A
MA1_21256,MA1,21256,635,0,0.49389693,0.49389693,0.49389693,0.49389693,0,A
MA2_59441,MA2,59441,671,0,0.49389693,0.49389693,0.49389693,0.49389693,0,A
MA2_15342,MA2,15342,671,0,0.49389693,0.49389693,0.49389693,0.49389693,0,A
