model,disk_id,drive_score,drive_label,n_final_windows,final_window_start,final_window_end,fold
MA1,448,0.4938969314098358,0,30,2019-06-13,2019-07-12,A
MA1,527,0.4938969314098358,0,30,2019-11-02,2019-12-01,A
MA1,747,0.4938969314098358,0,30,2019-11-02,2019-12-01,A
MA1,839,0.4938969314098358,0,30,2019-09-27,2019-10-26,A
MA1,960,0.4938969314098358,0,30,2019-11-02,2019-12-01,A
MA1,977,0.4938969314098358,0,30,2019-11-02,2019-12-01,A
MA1,1622,0.4938969314098358,0,30,2019-11-02,2019-12-01,A
MA1,2078,0.4938969314098358,0,29,2018-01-30,2018-02-27,A
MA1,2154,0.4938969314098358,0,30,2018-10-29,2018-11-27,A
MA1,2192,0.4938969314098358,0,30,2019-11-02,2019-12-01,A
MA1,2223,0.4938969314098358,0,30,2019-11-02,2019-12-01,A
MA1,2278,0.4938969314098358,0,30,2019-11-02,2019-12-01,A
MA1,2412,0.4938969314098358,0,30,2019-11-02,2019-12-01,A
MA1,2477,0.4938969314098358,0,30,2019-11-02,2019-12-01,A
MA1,2564,0.4938969314098358,0,30,2019-11-02,2019-12-01,A
MA1,2774,0.4938969314098358,0,30,2019-02-08,2019-03-09,A
MA1,2779,0.4938969314098358,0,30,2019-02-08,2019-03-09,A
MA1,2846,0.4938969314098358,0,30,2019-11-02,2019-12-01,A
MA1,2859,0.4938969314098358,0,6,2018-01-30,2018-02-04,A
MA1,2869,0.4938969314098358,0,6,2018-01-30,2018-02-04,A
MA1,3341,0.4938969314098358,0,30,2019-11-02,2019-12-01,A
MA1,3449,0.4938969314098358,0,30,2019-02-07,2019-03-08,A
MA1,3583,0.4938969314098358,0,30,2019-03-27,2019-04-25,A
MA1,3729,0.4938969314098358,0,30,2019-11-02,2019-12-01,A
MA1,3798,0.4938969314098358,0,30,2019-04-13,2019-05-12,A
MA1,3995,0.4938969314098358,0,30,2019-11-02,2019-12-01,A
MA1,4271,0.4938969314098358,0,30,2019-11-02,2019-12-01,A
MA1,4362,0.4938969314098358,0,30,2019-11-02,2019-12-01,A
MA1,4374,0.4938969314098358,0,30,2019-11-02,2019-12-01,A
MA1,5048,0.4938969314098358,0,30,2019-11-02,2019-12-01,A
MA1,5085,0.4938969314098358,0,30,2019-09-27,2019-10-26,A
MA1,5249,0.4938969314098358,0,30,2019-10-30,2019-11-28,A
