fold,drive_id,model,disk_id,drive_label,total_windows,positive_windows,first_window_date,last_window_date,first_positive_date,last_positive_date,first_positive_probability,last_positive_probability,max_positive_probability,max_probability,mean_probability,last_window_probability
A,MA1_10021,MA1,10021,0,278,0,2018-01-30,2018-11-03,,,,,,0.49389693,0.49389693,0.49389693
A,MA1_10091,MA1,10091,0,671,0,2018-01-30,2019-12-01,,,,,,0.49389693,0.49389693,0.49389693
A,MA1_10094,MA1,10094,0,671,0,2018-01-30,2019-12-01,,,,,,0.49389693,0.49389693,0.49389693
A,MA1_10111,MA1,10111,0,671,0,2018-01-30,2019-12-01,,,,,,0.49389693,0.49389693,0.49389693
A,MA1_10232,MA1,10232,0,420,0,2018-05-19,2019-07-12,,,,,,0.49389693,0.49389693,0.49389693
A,MA1_10288,MA1,10288,0,635,0,2018-01-30,2019-10-26,,,,,,0.49389693,0.49389687,0.49389693
A,MA1_10601,MA1,10601,0,379,0,2018-01-30,2019-02-12,,,,,,0.49389693,0.4938969,0.49389693
A,MA1_10633,MA1,10633,0,671,0,2018-01-30,2019-12-01,,,,,,0.49389693,0.49389693,0.49389693
A,MA1_10662,MA1,10662,0,671,0,2018-01-30,2019-12-01,,,,,,0.49389693,0.49389693,0.49389693
A,MA1_10890,MA1,10890,0,403,0,2018-01-30,2019-03-08,,,,,,0.6834021,0.67559475,0.6699198
A,MA1_11096,MA1,11096,1,350,10,2018-01-30,2019-01-14,2018-12-24,2019-01-14,0.4938969314098358,0.4938969314098358,0.4938969314098358,0.49389693,0.49389693,0.49389693
A,MA1_11218,MA1,11218,0,663,0,2018-01-30,2019-11-23,,,,,,0.49389693,0.49389693,0.49389693
A,MA1_11226,MA1,11226,0,663,0,2018-01-30,2019-11-23,,,,,,0.49389693,0.49389693,0.49389693
A,MA1_11227,MA1,11227,0,663,0,2018-01-30,2019-11-23,,,,,,0.49389693,0.49389693,0.49389693
A,MA1_11276,MA1,11276,0,671,0,2018-01-30,2019-12-01,,,,,,0.49389693,0.49389693,0.49389693
A,MA1_11348,MA1,11348,0,523,0,2018-01-30,2019-07-06,,,,,,0.49389693,0.49389696,0.49389693
A,MA1_11505,MA1,11505,0,529,0,2018-01-30,2019-07-12,,,,,,0.49389693,0.49389693,0.49389693
A,MA1_11561,MA1,11561,0,562,0,2018-05-19,2019-12-01,,,,,,0.49389693,0.49389693,0.49389693
A,MA1_12240,MA1,12240,1,352,30,2018-01-30,2019-01-16,2018-12-18,2019-01-16,0.4938969314098358,0.4938969314098358,0.4938969314098358,0.49389693,0.49389693,0.49389693
A,MA1_12576,MA1,12576,0,635,0,2018-01-30,2019-10-26,,,,,,0.49389693,0.49389687,0.49389693
A,MA1_12706,MA1,12706,0,671,0,2018-01-30,2019-12-01,,,,,,0.49389693,0.49389693,0.49389693
A,MA1_12740,MA1,12740,0,671,0,2018-01-30,2019-12-01,,,,,,0.49389693,0.49389693,0.49389693
A,MA1_12831,MA1,12831,0,302,0,2018-01-30,2018-11-27,,,,,,0.49389693,0.4938969,0.49389693
A,MA1_13503,MA1,13503,0,671,0,2018-01-30,2019-12-01,,,,,,0.49389693,0.49389693,0.49389693
A,MA1_13822,MA1,13822,0,523,0,2018-01-30,2019-07-06,,,,,,0.49389693,0.49389696,0.49389693
A,MA1_13904,MA1,13904,0,271,0,2018-01-30,2018-10-27,,,,,,0.49389693,0.49389693,0.49389693
A,MA1_14013,MA1,14013,0,382,0,2018-01-30,2019-02-15,,,,,,0.49389693,0.49389687,0.49389693
A,MA1_14546,MA1,14546,0,671,0,2018-01-30,2019-12-01,,,,,,0.49389693,0.49389693,0.49389693
A,MA1_14693,MA1,14693,0,671,0,2018-01-30,2019-12-01,,,,,,0.49389693,0.49389693,0.49389693
A,MA1_14733,MA1,14733,0,22,0,2018-01-30,2018-02-20,,,,,,0.49389693,0.49389684,0.49389693
A,MA1_14743,MA1,14743,0,3,0,2018-02-18,2018-02-20,,,,,,0.49389693,0.461525,0.49389693
A,MA1_14850,MA1,14850,0,282,0,2019-02-23,2019-12-01,,,,,,0.49389693,0.49389693,0.49389693
