model,disk_id,drive_score,drive_label,n_final_windows,final_window_start,final_window_end
MA1,448,0.5383616705735524,0,30,2019-05-14,2019-06-12
MA1,527,0.539503663778305,0,30,2019-10-10,2019-11-08
MA1,747,0.5468375126520792,0,30,2019-10-10,2019-11-08
MA1,839,0.5799493153889974,0,30,2019-09-27,2019-10-26
MA1,960,0.5182823677857716,0,30,2019-10-10,2019-11-08
MA1,977,0.5484582324822743,0,30,2019-10-10,2019-11-08
MA1,2078,0.5696798121487653,0,27,2018-02-01,2018-02-27
MA1,2154,0.5305964767932891,0,30,2018-08-17,2018-11-08
MA1,2192,0.5378359178702037,0,30,2019-10-06,2019-11-04
MA1,2278,0.551322325070699,0,30,2019-10-10,2019-11-08
MA1,2412,0.5798599223295847,0,30,2019-10-10,2019-11-08
MA1,2564,0.5237461427847544,0,30,2019-10-10,2019-11-08
MA1,2859,0.5705628097057343,0,4,2018-02-01,2018-02-04
MA1,2869,0.5699096620082855,0,4,2018-02-01,2018-02-04
MA1,3341,0.5254847665627798,0,30,2019-08-19,2019-10-17
MA1,3449,0.5562114079793294,0,30,2019-02-07,2019-03-08
MA1,3583,0.5655765096346538,0,30,2018-08-11,2018-09-09
MA1,3729,0.5536440332730611,0,30,2019-10-10,2019-11-08
MA1,3798,0.5707773764928182,0,30,2018-09-02,2019-01-02
MA1,4374,0.5382986863454183,0,30,2019-09-22,2019-10-21
MA1,5048,0.547569195429484,0,30,2019-10-10,2019-11-08
MA1,5085,0.5696832299232483,0,30,2019-09-27,2019-10-26
MA1,5249,0.5498116830984752,0,30,2019-10-10,2019-11-08
MA1,5328,0.5739813228448232,0,30,2019-09-10,2019-11-08
MA1,5474,0.5727639238039652,0,30,2019-01-28,2019-02-26
MA1,5666,0.6002260088920593,0,30,2018-03-23,2018-11-08
MA1,6095,0.567375381787618,0,30,2018-08-04,2018-09-02
MA1,6099,0.5674980918566386,0,30,2018-08-04,2018-09-02
MA1,6177,0.5445015410582225,0,30,2019-09-10,2019-11-08
MA1,6199,0.5168965975443522,0,30,2019-09-16,2019-10-15
MA1,6465,0.5404725948969523,0,30,2019-08-21,2019-09-19
MA1,6553,0.5568799118200938,0,30,2018-03-28,2018-10-13
MA1,6691,0.5646468202273051,0,30,2018-09-20,2018-10-19
MA1,6714,0.5487628360589345,0,30,2019-10-10,2019-11-08
MA1,6741,0.5508825798829396,0,30,2019-10-10,2019-11-08
MA1,6790,0.5212506274382274,0,30,2019-09-17,2019-10-16
MA1,6794,0.5212196310361227,0,30,2019-09-17,2019-10-16
MA1,7191,0.5445898493131002,0,30,2019-10-10,2019-11-08
MA1,7399,0.5756086190541585,0,30,2018-07-12,2018-09-09
MA1,7529,0.5460620681444804,0,30,2019-06-06,2019-08-04
MA1,7652,0.5750659048557282,0,30,2018-07-13,2018-11-07
MA1,7657,0.5739129145940145,0,30,2018-07-13,2018-11-07
MA1,7788,0.5671120325724284,0,30,2019-10-10,2019-11-08
MA1,8496,0.5720851858456929,0,30,2019-10-10,2019-11-08
MA1,8586,0.5357172270615895,0,30,2019-09-10,2019-11-08
MA1,8635,0.5396277626355489,0,30,2019-10-10,2019-11-08
MA1,8867,0.5430276989936829,0,30,2019-10-10,2019-11-08
MA1,8878,0.5589615245660146,0,30,2019-10-10,2019-11-08
MA1,8956,0.5648922542730967,1,30,2018-08-30,2018-09-28
MA1,9186,0.6082725822925568,0,30,2018-12-12,2019-02-09
MA1,9559,0.5601045608520507,0,30,2018-03-25,2018-05-23
MA1,9584,0.5693875789642334,0,30,2018-11-04,2019-03-08
MA1,9836,0.5609373688697815,0,30,2019-06-08,2019-09-06
MA1,9841,0.5681188960870107,0,30,2018-08-11,2018-09-09
MA1,10021,0.5634072641531627,0,30,2018-03-21,2018-10-05
MA1,10091,0.581659601132075,0,30,2018-12-25,2019-01-23
MA1,10094,0.5712851524353028,0,30,2018-12-25,2019-01-23
MA1,10111,0.5538553992907206,0,30,2019-09-20,2019-10-19
MA1,10288,0.5456841945648193,0,30,2019-09-27,2019-10-26
MA1,10601,0.5643207053343455,0,30,2019-01-14,2019-02-12
MA1,10633,0.525019375483195,0,30,2019-10-10,2019-11-08
MA1,10662,0.5519470731417339,0,30,2019-09-10,2019-11-08
MA1,10890,0.2901340126991272,0,30,2018-06-12,2018-09-09
MA1,11096,0.5576436559359232,0,30,2018-10-10,2018-11-08
MA1,11218,0.5335917711257935,0,30,2019-09-10,2019-11-08
MA1,11226,0.5324964880943298,0,30,2019-09-10,2019-11-08
MA1,11227,0.5324993014335633,0,30,2019-09-10,2019-11-08
MA1,11276,0.5707791209220886,0,30,2018-08-08,2018-09-06
